index,symbol,key
NIFTY 50,NIFTY 50,BROAD MARKET INDICES
NIFTY NEXT 50,NIFTY NEXT 50,BROAD MARKET INDICES
NIFTY 100,NIFTY 100,BROAD MARKET INDICES
NIFTY 200,NIFTY 200,BROAD MARKET INDICES
NIFTY 500,NIFTY 500,BROAD MARKET INDICES
NIFTY MIDCAP 50,NIFTY MIDCAP 50,BROAD MARKET INDICES
NIFTY MIDCAP 100,NIFTY MIDCAP 100,BROAD MARKET INDICES
NIFTY SMALLCAP 100,NIFTY SMLCAP 100,BROAD MARKET INDICES
INDIA VIX,INDIA VIX,BROAD MARKET INDICES
NIFTY MIDCAP 150,NIFTY MIDCAP 150,BROAD MARKET INDICES
NIFTY SMALLCAP 50,NIFTY SMLCAP 50,BROAD MARKET INDICES
NIFTY SMALLCAP 250,NIFTY SMLCAP 250,BROAD MARKET INDICES
NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,BROAD MARKET INDICES
NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,BROAD MARKET INDICES
NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,BROAD MARKET INDICES
NIFTY MIDCAP SELECT,NIFTY MID SELECT,BROAD MARKET INDICES
NIFTY TOTAL MARKET,NIFTY TOTAL MKT,BROAD MARKET INDICES
NIFTY MICROCAP 250,NIFTY MICROCAP250,BROAD MARKET INDICES
NIFTY BANK,NIFTY BANK,SECTORAL INDICES
NIFTY AUTO,NIFTY AUTO,SECTORAL INDICES
NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,SECTORAL INDICES
NIFTY FINANCIAL SERVICES 25/50,NIFTY FINSRV25 50,SECTORAL INDICES
NIFTY FMCG,NIFTY FMCG,SECTORAL INDICES
NIFTY IT,NIFTY IT,SECTORAL INDICES
NIFTY MEDIA,NIFTY MEDIA,SECTORAL INDICES
NIFTY METAL,NIFTY METAL,SECTORAL INDICES
NIFTY PHARMA,NIFTY PHARMA,SECTORAL INDICES
NIFTY PSU BANK,NIFTY PSU BANK,SECTORAL INDICES
NIFTY PRIVATE BANK,NIFTY PVT BANK,SECTORAL INDICES
NIFTY REALTY,NIFTY REALTY,SECTORAL INDICES
NIFTY HEALTHCARE INDEX,NIFTY HEALTHCARE,SECTORAL INDICES
NIFTY CONSUMER DURABLES,NIFTY CONSR DURBL,SECTORAL INDICES
NIFTY OIL & GAS,NIFTY OIL AND GAS,SECTORAL INDICES
NIFTY MIDSMALL HEALTHCARE,NIFTY MIDSML HLTH,SECTORAL INDICES
NIFTY 8-13 YR G-SEC,NIFTY GS 8 13YR,FIXED INCOME INDICES
NIFTY 10 YR BENCHMARK G-SEC,NIFTY GS 10YR,FIXED INCOME INDICES
NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE),NIFTY GS 10YR CLN,FIXED INCOME INDICES
NIFTY 4-8 YR G-SEC INDEX,NIFTY GS 4 8YR,FIXED INCOME INDICES
NIFTY 11-15 YR G-SEC INDEX,NIFTY GS 11 15YR,FIXED INCOME INDICES
NIFTY 15 YR AND ABOVE G-SEC INDEX,NIFTY GS 15YRPLUS,FIXED INCOME INDICES
NIFTY COMPOSITE G-SEC INDEX,NIFTY GS COMPSITE,FIXED INCOME INDICES
