Symbol,Name
20MICRONS,20 MICRONS LTD
360ONE,360 ONE WAM LIMITED
3IINFOLTD,3I INFOTECH LIMITED
3MINDIA,3M INDIA LIMITED
5PAISA,5PAISA CAPITAL LIMITED
63MOONS,63 MOONS TECHNOLOGIES LTD
AADHARHFC,AADHAR HOUSING FINANCE L
AARON,AARON INDUSTRIES LIMITED
AARTECH,AARTECH SOLONICS LIMITED
AARTIDRUGS,AARTI DRUGS LTD.
AARTIIND,AARTI INDUSTRIES LTD
AARTIPHARM,AARTI PHARMALABS LIMITED
AARTISURF,AARTI SURFACTANTS LIMITED
AARVI,AARVI ENCON LIMITED
AAVAS,AAVAS FINANCIERS LIMITED
ABAN,ABAN OFFSHORE LTD.
ABB,ABB INDIA LIMITED
ABBOTINDIA,ABBOTT INDIA LIMITED
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.
ABDL,ALLIED BLEND N DISTILS L
ABFRL,ADITYA BIRLA FASHION & RT
ABREL,ADITYA BIRLA REAL EST LTD
ABSLAMC,ADIT BIRL SUN LIF AMC LTD
ABSLBANETF,BIRLASLAMC - ABSLBANETF
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET
ABSLPSE,BIRLASLAMC-ABSLPSE
ACC,ACC LIMITED
ACCELYA,ACCELYA SOLN INDIA LTD
ACE,ACTION CONST EQUIP LTD
ACI,ARCHEAN CHEMICAL IND LTD
ACL,ANDHRA CEMENTS LIMITED
ACLGATI,ALLCARGO GATI LIMITED
ADANIENSOL,ADANI ENERGY SOLUTION LTD
ADANIENT,ADANI ENTERPRISES LIMITED
ADANIGREEN,ADANI GREEN ENERGY LTD
ADANIPORTS,ADANI PORT & SEZ LTD
ADANIPOWER,ADANI POWER LTD
ADFFOODS,ADF FOODS LIMITED
ADORWELD,ADOR WELDING LTD
ADSL,ALLIED DIGITAL SERV. LTD
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD
ADVENZYMES,ADVANCED ENZYME TECH LTD
AEGISLOG,AEGIS LOGISTICS LIMITED
AEROFLEX,AEROFLEX INDUSTRIES LTD
AETHER,AETHER INDUSTRIES LIMITED
AFFLE,AFFLE (INDIA) LIMITED
AFIL,AKME FINTRADE (INDIA) LTD
AGARIND,AGARWAL INDS CORP LTD.
AGI,AGI GREENPAC LIMITED
AGIIL,AGI INFRA LIMITED
AGRITECH,AGRI-TECH (INDIA) LIMITED
AGROPHOS,AGRO PHOS INDIA LIMITED
AGSTRA,AGS TRANSACT TECH LTD
AHL,ABANS HOLDINGS LIMITED
AHLADA,AHLADA ENGINEERS LIMITED
AHLEAST,ASIAN HOTELS (EAST) LTD
AHLUCONT,AHLUWALIA CONT IND LTD
AIAENG,AIA ENGINEERING LIMITED
AIIL,AUTHUM INVEST & INFRA LTD
AIRAN,AIRAN LIMITED
AIROLAM,AIRO LAM LIMITED
AJANTPHARM,AJANTA PHARMA LIMITED
AJMERA,AJMERA REALTY & INF I LTD
AKG,AKG EXIM LIMITED
AKSHARCHEM,AKSHARCHEM INDIA LIMITED
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED
AKUMS,AKUMS DRUGS AND PHARMA L
AKZOINDIA,AKZO NOBEL INDIA LIMITED
ALANKIT,ALANKIT LIMITED
ALBERTDAVD,ALBERT DAVID LIMITED
ALEMBICLTD,ALEMBIC LIMITED
ALICON,ALICON CASTALLOY LIMITED
ALKALI,ALKALI METALS LTD
ALKEM,ALKEM LABORATORIES LTD.
ALKYLAMINE,ALKYL AMINES CHEM. LTD
ALLCARGO,ALLCARGO LOGISTICS LTD
ALLDIGI,ALLDIGI TECH LIMITED
ALMONDZ,ALMONDZ GLOBAL SEC LTD
ALOKINDS,ALOK INDUSTRIES LIMITED
ALPA,ALPA LABORATORIES LTD
ALPHA,KOTAKMAMC - KOTAKALPHA
ALPHAETF,MIRAEAMC - ALPHAETF
ALPHAGEO,ALPHAGEO (INDIA) LIMITED
ALPL30IETF,ICICIPRAMC - ICICIALPLV
AMBER,AMBER ENTERPRISES (I) LTD
AMBIKCO,AMBIKA COTTON MILL LTD.
AMBUJACEM,AMBUJA CEMENTS LTD
AMIORG,AMI ORGANICS LIMITED
AMJLAND,AMJ LAND HOLDINGS LIMITED
AMNPLST,AMINES & PLASTICIZERS LTD
AMRUTANJAN,AMRUTAJAN HEALTH LTD
ANANDRATHI,ANAND RATHI WEALTH LTD
ANANTRAJ,ANANT RAJ LIMITED
ANDHRAPAP,ANDHRA PAPER LIMITED
ANDHRSUGAR,ANDHRA SUGARS LTD
ANGELONE,ANGEL ONE LIMITED
ANMOL,ANMOL INDIA LIMITED
ANUP,THE ANUP ENGINEERING LTD
ANURAS,ANUPAM RASAYAN INDIA LTD
APARINDS,APAR INDUSTRIES LTD.
APCL,ANJANI PORTLAND CEM LTD
APCOTEXIND,APCOTEX INDUSTRIES LIMITE
APEX,APEX FROZEN FOODS LIMITED
APLAPOLLO,APL APOLLO TUBES LTD
APLLTD,ALEMBIC PHARMA LTD
APOLLO,APOLLO MICRO SYSTEMS LTD
APOLLOHOSP,APOLLO HOSPITALS ENTER. L
APOLLOPIPE,APOLLO PIPES LIMITED
APOLLOTYRE,APOLLO TYRES LTD
APOLSINHOT,APOLLO SINDOORI HOTEL LTD
APTECHT,APTECH LIMITED
APTUS,APTUS VALUE HSG FIN I LTD
ARE&M,AMARA RAJA ENERGY MOB LTD
ARIES,ARIES AGRO LTD.
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD
ARMANFIN,ARMAN FIN SERV LTD
AROGRANITE,ARO GRANITE IND. LTD.
ARROWGREEN,ARROW GREENTECH LIMITED
ARTEMISMED,ARTEMIS MED SERVICE LTD
ARVIND,ARVIND LIMITED
ARVINDFASN,ARVIND FASHIONS LIMITED
ARVSMART,ARVIND SMARTSPACES LTD
ASAHIINDIA,ASAHI INDIA GLASS LIMITED
ASAL,AUTOMOTIVE STAMPINGS & AS
ASALCBR,ASSO ALCOHOLS & BREW LTD
ASHAPURMIN,ASHAPURA MINECHEM LTD
ASHIANA,ASHIANA HOUSING LTD
ASHOKA,ASHOKA BUILDCON LTD
ASHOKLEY,ASHOK LEYLAND LTD
ASIANENE,ASIAN ENERGY SERVICES LTD
ASIANPAINT,ASIAN PAINTS LIMITED
ASIANTILES,ASIAN GRANITO IND. LTD.
ASKAUTOLTD,ASK AUTOMOTIVE LIMITED
ASMS,BARTRONICS INDIA LIMITED
ASPINWALL,ASPINWALL & CO LTD
ASTEC,ASTEC LIFESCIENCES LTD
ASTERDM,ASTER DM HEALTHCARE LTD.
ASTRAL,ASTRAL LIMITED
ASTRAMICRO,ASTRA MICROWAVE LTD
ASTRAZEN,ASTRAZENECA PHARMA IND LT
ATAM,ATAM VALVES LIMITED
ATFL,AGRO TECH FOODS LIMITED
ATGL,ADANI TOTAL GAS LIMITED
ATL,ALLCARGO TERMINALS LTD
ATUL,ATUL LTD
ATULAUTO,ATUL AUTO LIMITED
AUBANK,AU SMALL FINANCE BANK LTD
AURIONPRO,AURIONPRO SOLN LTD
AUROPHARMA,AUROBINDO PHARMA LTD
AURUM,AURUM PROPTECH LIMITED
AUTOAXLES,AUTOMOTIVE AXLES LIMITED
AUTOBEES,NIPPONAMC - NETFAUTO
AUTOIETF,ICICIPRAMC - ICICIAUTO
AUTOIND,AUTOLINE INDUSTRIES LTD
AVADHSUGAR,AVADH SUG & ENERGY LTD
AVALON,AVALON TECHNOLOGIES LTD
AVANTEL,AVANTEL LIMITED
AVANTIFEED,AVANTI FEEDS LIMITED
AVG,AVG LOGISTICS LIMITED
AVONMORE,AVONMORE CAP&MGT SERV LTD
AVROIND,AVRO INDIA LIMITED
AVTNPL,AVT NATURAL PRODUCTS LTD
AWFIS,AWFIS SPACE SOLUTIONS LTD
AWHCL,ANTONY WASTE HDG CELL LTD
AWL,ADANI WILMAR LIMITED
AXISBANK,AXIS BANK LIMITED
AXISBNKETF,AXISAMC - AXISBNKETF
AXISBPSETF,AXISAMC - AXISBPSETF
AXISCADES,AXISCADES TECH LTD
AXISCETF,AXISAMC - AXISCETF
AXISGOLD,AXIS MF - AXIS GOLD ETF
AXISHCETF,AXISAMC - AXISHCETF
AXISILVER,AXISAMC - AXISILVER
AXISNIFTY,AXISAMC - AXISNIFTY
AXISTECETF,AXISAMC - AXISTECETF
AXITA,AXITA COTTON LIMITED
AXSENSEX,AXISAMC - AXSENSEX
AZAD,AZAD ENGINEERING LIMITED
BAJAJ-AUTO,BAJAJ AUTO LIMITED
BAJAJCON,BAJAJ CONSUMER CARE LTD
BAJAJELEC,BAJAJ ELECT.LTD
BAJAJFINSV,BAJAJ FINSERV LTD.
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED
BAJAJHFL,BAJAJ HOUSING FINANCE LTD
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT
BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD
BAJEL,BAJEL PROJECTS LIMITED
BAJFINANCE,BAJAJ FINANCE LIMITED
BALAJEE,SHREE TIRUPATI BALAJEE L
BALAJITELE,BALAJI TELEFILMS LTD.
BALAMINES,BALAJI AMINES LIMITED
BALAXI,BALAXI PHARMA LTD
BALKRISIND,BALKRISHNA IND. LTD
BALMLAWRIE,BALMER LAWRIE & CO LTD
BALPHARMA,BAL PHARMA LTD.
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD
BALUFORGE,BALU FORGE INDUSTRIES LTD
BANARBEADS,BANARAS BEADS LTD
BANARISUG,BANNARI AMMAN SUGARS LTD
BANCOINDIA,BANCO PRODUCTS (I) LTD
BANDHANBNK,BANDHAN BANK LIMITED
BANKBARODA,BANK OF BARODA
BANKBEES,NIP IND ETF BANK BEES
BANKBETF,BFAM - BANKBETF
BANKETF,MIRAEAMC - BANKETF
BANKETFADD,DSPAMC - DSPBANKETF
BANKIETF,ICICIPRAMC - IPRU5008
BANKINDIA,BANK OF INDIA
BANKNIFTY1,KOTAKMAMC-KOTAKBKETF
BANSALWIRE,BANSAL WIRE INDUSTRIES L
BANSWRAS,BANSWARA SYNTEX LIMITED
BARBEQUE,BARBEQUE NATION HOSP. LTD
BASF,BASF INDIA LTD
BASML,BANNARI AM SPIN MILL LTD.
BATAINDIA,BATA INDIA LTD
BAYERCROP,BAYER CROPSCIENCE LTD
BBETF0432,EDELAMC - BBETF0432
BBL,BHARAT BIJLEE LTD
BBOX,BLACK BOX LIMITED
BBTC,BOMBAY BURMAH TRADING COR
BCLIND,BCL INDUSTRIES LIMITED
BCONCEPTS,BRAND CONCEPTS LIMITED
BDL,BHARAT DYNAMICS LIMITED
