symbol,name
LTIM,LTIMINDTREE LTD
LTTS,L&T TECHNOLOGY SER. LTD.
SYNGENE,SYNGENE INTERNATIONAL LTD
NBCC,NBCC (INDIA) LTD
FSL,FIRSTSOURCE SOLU. LTD.
CYIENT,CYIENT LTD
CONCORDBIO,CONCORD BIOTECH LTD
INDGN,INDEGENE LTD
RITES,RITES LTD
ECLERX,ECLERX SERVICES LTD
QUESS,QUESS CORP LTD
MAPMYINDIA,C.E. INFO SYSTEMS LTD
RTNINDIA,RATTANINDIA ENT LTD
CHOICEIN,CHOICE INTERNATIONAL LTD
LATENTVIEW,LATENT VIEW ANALYTICS LTD
INFIBEAM,INFIBEAM AVENUES LTD
ICRA,ICRA LTD
NIITMTS,NIIT LEARNING SYSTEMS LTD
SIS,SIS LTD
TEAMLEASE,TEAMLEASE SERVICES LTD.
CARERATING,CARE RATINGS LTD
HGS,HINDUJA GLOBAL SOLS. LTD.
TCPLPACK,TCPL PACKAGING LTD
UDS,UPDATER SERVICES LTD
NIITLTD,NIIT LTD
AXISCADES,AXISCADES TECH LTD
VERANDA,VERANDA LEARNING SOL LTD
VERTOZ,VERTOZ LTD
ALLDIGI,ALLDIGI TECH LTD
ONEPOINT,ONE POINT ONE SOL LTD
SPCENET,SPACENET ENTERS IND LTD
VIMTALABS,VIMTA LABS LTD
SNOWMAN,SNOWMAN LOGISTICS LTD.
AGSTRA,AGS TRANSACT TECH LTD
RKSWAMY,R K SWAMY LTD
APTECHT,APTECH LTD
KRYSTAL,KRYSTAL INTEGRATED SER L
RADIANTCMS,RADIANT CASH MGMT SER LTD
REPRO,REPRO INDIA LTD
CLEDUCATE,CL EDUCATE LTD
FCSSOFT,FCS SOFTWARE SOLN. LTD.
VINSYS,VINSYS IT SERVICES IND LTD
KAPSTON,KAPSTON SERVICES LTD
DUGLOBAL,DUDIGITAL GLOBAL LTD
CGRAPHICS,CREATIVE GRAPHICS S IND L
SPECTSTM,SPECTRUM TALENT MGMT LTD
INFOLLION,INFOLLION RESEARCH SER L
DJML,DJ MEDIAPRINT & LOG LTD
GLOBAL,GLOBAL EDUCATION LTD
EFACTOR,E FACTOR EXPERIENCES LTD
NOIDATOLL,NOIDA TOLL BRIDGE CO LTD
CRAYONS,CRAYONS ADVERTISING LTD
DGCONTENT,DIGICONTENT LTD
AARVI,AARVI ENCON LTD
IPSL,INTEGRATED PERSO SER LTD
AISL,ANI INTEGRATED SERV LTD.
MAXPOSURE,MAXPOSURE LTD
GVPTECH,GVP INFOTECH LTD
TOUCHWOOD,TOUCHWOOD ENTERTAIN LTD.
MITCON,MITCON CON & ENG SER LTD
3RDROCK,3RD ROCK MULTIMEDIA LTD
EXCEL,EXCEL REALTY N INFRA LTD
ARIHANTACA,ARIHANT ACADEMY LTD
ADROITINFO,ADROIT INFOTECH LTD
SUVIDHAA,SUVIDHAA INFOSERVE LTD
SERVICE,SERVICE CARE LTD
ARSHIYA,ARSHIYA LTD
WEWIN,WE WIN LTD
VERTEXPLUS,VERTEXPLUS TECHNOLOGIES L
KEEPLEARN,DSJ KEEP LEARNING LTD
THESL,THINKING HATS ENTER SOL L
ADL,ARCHIDPLY DECOR LTD
GTECJAINX,G-TEC JAINX EDUCATION LTD
VERITAAS,VERITAAS ADVERTISING LTD
EDUCOMP,EDUCOMP SOLUTIONS LTD
SECURCRED,SECUR CREDENTIALS LTD
BGLOBAL,BHARATIYA GLOBAL INFO LTD
