symbol,name
M_M,MAHINDRA & MAHINDRA LTD
MARUTI,MARUTI SUZUKI INDIA LTD.
TATAMOTORS,TATA MOTORS LTD
TITAN,TITAN COMPANY LTD
BAJAJ_AUTO,BAJAJ AUTO LTD
HYUNDAI,HYUNDAI MOTOR INDIA LTD
EICHERMOT,EICHER MOTORS LTD
TVSMOTOR,TVS MOTOR COMPANY LTD
HEROMOTOCO,HERO MOTOCORP LTD
BALKRISIND,BALKRISHNA IND. LTD
MRF,MRF LTD
OLAELEC,OLA ELECTRIC MOBILITY LTD
APOLLOTYRE,APOLLO TYRES LTD
ANANTRAJ,ANANT RAJ LTD
WHIRLPOOL,WHIRLPOOL OF INDIA LTD
NCC,NCC LTD
CELLO,CELLO WORLD LTD
ASAHIINDIA,ASAHI INDIA GLASS LTD
OLECTRA,OLECTRA GREENTECH LTD
TTKPRESTIG,TTK PRESTIGE LTD
CEATLTD,CEAT LTD
SAFARI,SAFARI IND (INDIA) LTD
EUREKAFORB,EUREKA FORBES LTD
JKTYRE,JK TYRE & INDUSTRIES LTD
FORCEMOT,FORCE MOTORS LTD
BAJAJELEC,BAJAJ ELECT.LTD
SENCO,SENCO GOLD LTD
CERA,CERA SANITARYWARE LTD
GANESHHOUC,GANESH HOUSING CORP LTD
RAJESHEXPO,RAJESH EXPORTS LTD
PCJEWELLER,PC JEWELLER LTD
VIPIND,VIP INDUSTRIES LTD
IFBIND,IFB INDUSTRIES LTD
THANGAMAYL,THANGAMAYIL JEWELLERY LTD
JCHAC,JOHNSON CONTROLS HITACHI
ORIENTELEC,ORIENT ELECTRIC LTD
SKYGOLD,SKY GOLD LTD
VAIBHAVGBL,VAIBHAV GLOBAL LTD
JTEKTINDIA,JTEKT INDIA LTD
GOLDIAM,GOLDIAM INTERNATIONAL LTD
LAOPALA,LA OPALA RG LTD
KDDL,KDDL LTD
SANDHAR,SANDHAR TECHNOLOGIES LTD
TVSSRICHAK,TVS SRICHAKRA LTD
NILKAMAL,NILKAMAL LTD
STANLEY,STANLEY LIFESTYLES LTD
STOVEKRAFT,STOVE KRAFT LTD
ARKADE,ARKADE DEVELOPERS LTD
SMLISUZU,SML ISUZU LTD
CARYSIL,CARYSIL LTD
TBZ,TRIB BHIMJI ZAVERI LTD
ATULAUTO,ATUL AUTO LTD
KOKUYOCMLN,KOKUYO CAMLIN LTD
RGL,RENAISSANCE GLOBAL LTD
BUTTERFLY,BTRFLY GANDHI APPL LTD
RADHIKAJWE,RADHIKA JEWELTECH LTD
CELLECOR,CELLECOR GADGETS LTD
RBZJEWEL,RBZ JEWELLERS LTD
FOCE,FOCE INDIA LTD
TOLINS,TOLINS TYRES LTD
BCONCEPTS,BRAND CONCEPTS LTD
LGHL,LAXMI GOLDORNA HOUSE LTD
HINDMOTORS,HINDUSTAN MOTORS LTD
NILASPACES,NILA SPACES LTD
UTSSAV,UTSSAV CZ GOLD JEWELS LTD
CHAVDA,CHAVDA INFRA LTD
UNIVPHOTO,UNIVERSUS IMAGINGS LTD
PARIN,PARIN ENTERPRISES LTD
SONAMLTD,SONAM LTD
RVHL,RAVINDER HEIGHTS LTD
MODIRUBBER,MODI RUBBER LTD
PRAENG,PRAJAY ENG. SYN. LTD.
TUNWAL,TUNWAL E-MOTORS LTD
PULZ,PULZ ELECTRONICS LTD
PRITI,PRITI INTERNATIONAL LTD
GREENCHEF,GREENCHEF APPLIANCES LTD
ARTNIRMAN,ART NIRMAN LTD
AVROIND,AVRO INDIA LTD
ATALREAL,ATAL REALTECH LTD
AESTHETIK,AESTHETIK ENGINEERS LTD
PRAMARA,PRAMARA PROMOTIONS LTD
MOKSH,MOKSH ORNAMENTS LTD
BANARBEADS,BANARAS BEADS LTD
SILGO,SILGO RETAIL LTD
VIAZ,VIAZ TYRES LTD
KANANIIND,KANANI INDUSTRIES LTD
BINANIIND,BINANI INDUSTRIES LTD
KHAITANLTD,KHAITAN (INDIA)LTD.
GOENKA,GOENKA DIAMOND&JEWELS LTD
SHUBHLAXMI,SHUBHLAXMI JEWEL ART LTD
LYPSAGEMS,LYPSA GEMS & JEWEL LTD
