symbol,name
ITC,ITC LTD
HINDUNILVR,HINDUSTAN UNILEVER LTD.
NESTLEIND,NESTLE INDIA LTD
VBL,VARUN BEVERAGES LTD
BRITANNIA,BRITANNIA INDUSTRIES LTD
GODREJCP,GODREJ CONSUMER PRODUCTS
UNITDSPR,UNITED SPIRITS LTD
TATACONSUM,TATA CONSUMER PRODUCT LTD
DABUR,DABUR INDIA LTD
MARICO,MARICO LTD
COLPAL,COLGATE PALMOLIVE LTD.
PGHH,P&G HYGIENE & HEALTH CARE
UBL,UNITED BREWERIES LTD
PAGEIND,PAGE INDUSTRIES LTD
GODFRYPHLP,GODFREY PHILLIPS INDIA LTD
GILLETTE,GILLETTE INDIA LTD
RADICO,RADICO KHAITAN LTD
KPRMILL,KPR MILL LTD.
EMAMILTD,EMAMI LTD
HATSUN,HATSUN AGRO PRODUCT LTD.
BIKAJI,BIKAJI FOODS INTERN LTD
RELAXO,RELAXO FOOT LTD.
JYOTHYLAB,JYOTHY LABS LTD
BBTC,BOMBAY BURMAH TRADING COR
BATAINDIA,BATA INDIA LTD
WELSPUNLIV,WELSPUN LIVING LTD
ZYDUSWELL,ZYDUS WELLNESS LTD
BECTORFOOD,MRS BECTORS FOOD SPE LTD
GALAXYSURF,GALAXY SURFACTANTS LTD
CAMPUS,CAMPUS ACTIVEWEAR LTD
CCL,CCL PRODUCTS (I) LTD
ABDL,ALLIED BLEND N DISTILS L
PDSL,PDS LTD
DODLA,DODLA DAIRY LTD
HNDFDS,HINDUSTAN FOODS LTD
GOKEX,GOKALDAS EXPORTS LTD.
GOCOLORS,GO FASHION INDIA LTD
GAEL,GUJARAT AMBUJA EXPORTS LTD
GOPAL,GOPAL SNACKS LTD
VSTIND,VST INDUSTRIES LTD
LUXIND,LUX INDUSTRIES LTD
MANORAMA,MANORAMA INDUSTRIES LTD
TI,TILAKNAGAR INDUSTRIES LTD
ADVENZYMES,ADVANCED ENZYME TECH LTD
HERITGFOOD,HERITAGE FOODS LTD
PGIL,PEARL GLOBAL IND LTD
KKCL,KEWAL KIRAN CLOTHING LTD
ADFFOODS,ADF FOODS LTD
BAJAJCON,BAJAJ CONSUMER CARE LTD
GLOBUSSPR,GLOBUS SPIRITS LTD
TASTYBITE,TASTY BITE EATABLES LTD
DOLLAR,DOLLAR INDUSTRIES LTD
VADILALIND,VADILAL INDUSTRIES LTD
DIAMONDYD,PRATAAP SNACKS LTD
PARAGMILK,PARAG MILK FOODS LTD.
