symbol,name
INDHOTEL,THE INDIAN HOTELS CO. LTD
IRCTC,INDIAN RAIL TOUR CORP LTD
JUBLFOOD,JUBILANT FOODWORKS LTD
SUNTV,SUN TV NETWORK LTD
EIHOTEL,EIH LTD
DEVYANI,DEVYANI INTERNATIONAL LTD
CHALET,CHALET HOTELS LTD
PVRINOX,PVR INOX LTD
WESTLIFE,WESTLIFE FOODWORLD LTD
ZEEL,ZEE ENTERTAINMENT ENT LTD
TIPSMUSIC,TIPS MUSIC LTD
SAPPHIRE,SAPPHIRE FOODS INDIA LTD
SAREGAMA,SAREGAMA INDIA LTD
LEMONTREE,LEMON TREE HOTELS LTD
NETWORK18,NETWORK18 MEDIA & INV LTD
MHRIL,MAHINDRA HOLIDAYS LTD
JUNIPER,JUNIPER HOTELS LTD
EASEMYTRIP,EASY TRIP PLANNERS LTD
DBCORP,D.B.CORP LTD
ITDC,INDIA TOUR. DEV. CO. LTD.
WONDERLA,WONDERLA HOLIDAYS LTD.
RBA,RESTAURANT BRAND ASIA LTD
IMAGICAA,IMAGICAAWORLD ENT LTD
SAMHI,SAMHI HOTELS LTD
PFOCUS,PRIME FOCUS LTD
MPSLTD,MPS LTD
HATHWAY,HATHWAY CABLE & DATACOM
SABTNL,SRI ADHIKARI BRO TELE N L
PARKHOTELS,PARKHOTELS
ORIENTHOT,ORIENT HOTELS LTD
DELTACORP,DELTA CORP LTD
EIHAHOTELS,EIH ASSOCIATED HOTELS LTD
DEN,DEN NETWORKS LTD
BARBEQUE,BARBEQUE NATION HOSP. LTD
JAGRAN,JAGRAN PRAKASHAN LTD
TAJGVK,TAJ GVK HOTELS & RESORTS
YATRA,YATRA ONLINE LTD
ZEEMEDIA,ZEE MEDIA CORPORATION LTD
HLVLTD,HLV LTD
SANDESH,SANDESH LTD
TVTODAY,TV TODAY NETWORK LTD
NDTV,NDTV LTD
GFLLIMITED,GFL LTD
ENIL,ENTERTAIN NET. IND. LTD.
CAREERP,CAREER POINT LTD
ROHLTD,ROYAL ORCHID HOTELS LTD
BASILIC,BASILIC FLY STUDIO LTD
VHLTD,VICEROY HOTELS LTD
SPECIALITY,SPECIALITY REST LTD
SCHAND,S CHAND AND COMPANY LTD
COFFEEDAY,COFFEE DAY ENTERPRISE LTD
HMVL,HINDUSTAN MEDIA VENT LTD
KAMATHOTEL,KAMAT HOTELS (I) LTD
BALAJITELE,BALAJI TELEFILMS LTD.
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD
HTMEDIA,HT MEDIA LTD
SINCLAIR,SINCLAIRS HOTELS LTD
APOLSINHOT,APOLLO SINDOORI HOTEL LTD
RADIOCITY,MUSIC BROADCAST LTD
SHEMAROO,SHEMAROO ENTER. LTD.
UFO,UFO MOVIEZ INDIA LTD.
PHANTOMFX,PHANTOM DIGITAL EFF LTD
NDLVENTURE,NDL VENTURES LTD
CINELINE,CINELINE INDIA LTD
ASIANHOTNR,ASIAN HOTELS (NORTH) LTD
CCHHL,COUNTRY CLUB HOSP HOL LTD
BYKE,THE BYKE HOSPITALITY LTD
RHL,ROBUST HOTELS LTD
ZEELEARN,ZEE LEARN LTD
AHLEAST,ASIAN HOTELS (EAST) LTD
RAJTV,RAJ TV NETWORK LTD
DIGIKORE,DIGIKORE STUDIOS LTD
TIPSFILMS,TIPS FILMS LTD
BAGFILMS,B.A.G FILMS AND MEDIA LTD
CHETANA,CHETANA EDUCATION LTD
EROSMEDIA,EROS INTL MEDIA LTD
BTML,BODHI TREE MULTIMEDIA LTD
BAWEJA,BAWEJA STUDIOS LTD
SAMBHAAV,SAMBHAAV MEDIA LTD
CINEVISTA,CINEVISTA LTD
PPSL,PICTUREPOST STUDIOS LTD
PNC,PRITISH NANDY COMMUNICATI
SAJHOTELS,SAJ HOTELS LTD
SITINET,SITI NETWORKS LTD
TREEHOUSE,TREE HOUSE EDU LTD
TVVISION,TV VISION LTD
DNAMEDIA,DILIGENT MEDIA CORP LTD.
VELS,VELS FILM INTERNATIONAL L
NEXTMEDIA,NEXT MEDIAWORKS LTD
TGBHOTELS,TGB BANQUETS&HOTELS LTD
CYBERMEDIA,CYBER MEDIA (INDIA) LTD.
INSPIRE,INSPIRE FILMS LTD
INFOMEDIA,INFOMEDIA PRESS LTD
SILLYMONKS,SILLY MONKS ENTERTAIN LTD
MTEDUCARE,MT EDUCARE LTD
RADAAN,RADAAN MEDIAWORKS (I) LTD
CREATIVEYE,CREATIVE EYE LTD
BLUECOAST,BLUE COAST HOTELS LTD
ORTEL,ORTEL COMMUNICATIONS LTD
