symbol,name
HAL,HINDUSTAN AERONAUTICS LTD
BEL,BHARAT ELECTRONICS LTD
DIXON,DIXON TECHNO (INDIA) LTD
WAAREEENER,WAAREE ENERGIES LTD
POWERINDIA,HITACHI ENERGY INDIA LTD
PREMIERENE,PREMIER ENERGIES LTD
HONAUT,HONEYWELL AUTOMATION IND
BDL,BHARAT DYNAMICS LTD
APARINDS,APAR INDUSTRIES LTD.
KAYNES,KAYNES TECHNOLOGY IND LTD
TEJASNET,TEJAS NETWORKS LTD
HFCL,HFCL LTD
PGEL,PG ELECTROPLAST LTD
NETWEB,NETWEB TECH INDIA LTD
DATAPATTNS,DATA PATTERNS INDIA LTD
GENUSPOWER,GENUS POWER INFRASTRU LTD
SYRMA,SYRMA SGS TECHNOLOGY LTD
HEG,HEG LTD
ASTRAMICRO,ASTRA MICROWAVE LTD
WEBELSOLAR,WEBSOL ENERGY SYSTEM LTD
CYIENTDLM,CYIENT DLM LTD
MTARTECH,MTAR TECHNOLOGIES LTD
PARAS,PARAS DEF AND SPCE TECH L
AVANTEL,AVANTEL LTD
AVALON,AVALON TECHNOLOGIES LTD
HPL,HPL ELECTRIC & POWER LTD
APOLLO,APOLLO MICRO SYSTEMS LTD
SPECTRUM,SPECTRUM ELECTRIC IND LTD
IDEAFORGE,IDEAFORGE TECHNO LTD
CENTUM,CENTUM ELECTRONICS LTD
UNIVCABLES,UNIVERSAL CABLES LTD
ALPEXSOLAR,ALPEX SOLAR LTD
NELCO,NELCO LTD
WEL,WONDER ELECTRICALS LTD
DLINKINDIA,D-LINK INDIA LTD
SAHASRA,SAHASRA ELECTRONIC SOLU L
KERNEX,KERNEX MICROSYS(I) LTD
CONTROLPR,CONTROL PRINT LTD
ELIN,ELIN ELECTRONICS LTD
URJA,URJA GLOBAL LTD
GGBL,GANESH GREEN BHARAT LTD
AIMTRON,AIMTRON ELECTRONICS LTD
VINYAS,VINYAS INNOVATIVE TECH L
APS,AUSTRALIAN PREM SOLAR I L
VILAS,VILAS TRANSCORE LTD
DENORA,DE NORA INDIA LTD
TVSELECT,TVS ELECTRONICS LTD
SAHAJSOLAR,SAHAJ SOLAR LTD
ASMS,BARTRONICS INDIA LTD
ROSSELLIND,ROSSELL INDIA LTD
DRONE,DRONE DESTINATION LTD
BPL,BPL LTD
FROG,FROG CELLSAT LTD
MIRCELECTR,MIRCELECTR-DEPO
DCI,DC INFOTECH AND COMUN LTD
SURANASOL,SURANA SOLAR LTD
PANACHE,PANACHE DIGILIFE LTD
NITIRAJ,NITIRAJ ENGINEERS LTD
SMARTLINK,SMARTLINK HOLDINGS LTD
MRO_TEK,MRO-TEK REALTY LTD
AKSHOPTFBR,AKSH OPTIFIBRE LTD
CEREBRAINT,CEREBRA INT TECH LTD
KAVVERITEL,KAVVERI TEL. LTD.
SHYAMTEL,SHYAM TELECOM LTD
INDIFRA,INDIFRA LTD
RICHA,RICHA INFO SYSTEMS LTD
