symbol,name
RELIANCE,RELIANCE INDUSTRIES LTD
ONGC,OIL AND NATURAL GAS CORP.
COALINDIA,COAL INDIA LTD
IOC,INDIAN OIL CORP LTD
BPCL,BHARAT PETROLEUM CORP LTD
HINDPETRO,HINDUSTAN PETROLEUM CORP
OIL,OIL INDIA LTD
MRPL,MRPL
CASTROLIND,CASTROL INDIA LTD
CHENNPETRO,CHENNAI PETROLEUM CORP LTD
REFEX,REFEX INDUSTRIES LTD
GULFOILLUB,GULF OIL LUB. IND. LTD.
VEEDOL,VEEDOL CORPORATION LTD
HINDOILEXP,HINDUSTAN OIL EXPLORATION
IRMENERGY,IRM ENERGY LTD
ASIANENE,ASIAN ENERGY SERVICES LTD
SELAN,SELAN EXPLO. TECH LTD
GULFPETRO,GP PETROLEUMS LTD
SOUTHWEST,SOUTH WEST PINNACLE LTD
AAKASH,AAKASH EXPLORATION SER L
