symbol,name
HDFCBANK,HDFC BANK LTD
ICICIBANK,ICICI BANK LTD.
SBIN,STATE BANK OF INDIA
LICI,LIFE INSURA CORP OF INDIA
BAJFINANCE,BAJAJ FINANCE LTD
AXISBANK,AXIS BANK LTD
KOTAKBANK,KOTAK MAHINDRA BANK LTD
BAJAJFINSV,BAJAJ FINSERV LTD.
JIOFIN,JIO FIN SERVICES LTD
IRFC,INDIAN RAILWAY FIN CORP L
DLF,DLF LTD
SBILIFE,SBI LIFE INSURANCE CO LTD
HDFCLIFE,HDFC LIFE INS CO LTD
PFC,POWER FIN CORP LTD.
RECLTD,REC LTD
BANKBARODA,BANK OF BARODA
LODHA,MACROTECH DEVELOPERS LTD
SHRIRAMFIN,SHRIRAM FINANCE LTD
PNB,PUNJAB NATIONAL BANK
BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD
CHOLAFIN,CHOLAMANDALAM IN & FIN CO
ICICIPRULI,ICICI PRU LIFE INS CO LTD
BAJAJHFL,BAJAJ HOUSING FINANCE LTD
IOB,INDIAN OVERSEAS BANK
ICICIGI,ICICI LOMBARD GIC LTD
CANBK,CANARA BANK
HDFCAMC,HDFC AMC LTD
IDBI,IDBI BANK LTD
INDUSTOWER,INDUS TOWERS LTD
UNIONBANK,UNION BANK OF INDIA
INDUSINDBK,INDUSIND BANK LTD
GODREJPROP,GODREJ PROPERTIES LTD
INDIANB,INDIAN BANK
MUTHOOTFIN,MUTHOOT FINANCE LTD
OBEROIRLTY,OBEROI REALTY LTD
PRESTIGE,PRESTIGE ESTATE LTD
SBICARD,SBI CARDS & PAY SER LTD
YESBANK,YES BANK LTD
GICRE,GENERAL INS CORP OF INDIA
BSE,BSE LTD
IREDA,INDIAN RENEWABLE ENERGY
UCOBANK,UCO BANK
PHOENIXLTD,THE PHOENIX MILLS LTD
SUNDARMFIN,SUNDARAM FINANCE LTD
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.
CENTRALBK,CENTRAL BANK OF INDIA
BANKINDIA,BANK OF INDIA
FEDERALBNK,FEDERAL BANK LTD
IDFCFIRSTB,IDFC FIRST BANK LTD
AUBANK,AU SMALL FINANCE BANK LTD
NAM_INDIA,NIPPON L I A M LTD
MFSL,MAX FINANCIAL SERV LTD
HUDCO,HSG & URBAN DEV CORPN LTD
MAHABANK,BANK OF MAHARASHTRA
360ONE,360 ONE WAM LTD
LTF,L&T FINANCE LTD
PSB,PUNJAB & SIND BANK
TATAINVEST,TATA INVESTMENT CORP LTD
LICHSGFIN,LIC HOUSING FINANCE LTD
M_MFIN,M&M FIN. SERVICES LTD
MCX,MULTI COMMODITY EXCHANGE
NIACL,THE NEW INDIA ASSU CO LTD
CHOLAHLDNG,CHOLAMANDALAM FIN HOL LTD
CDSL,CENTRAL DEPO SER (I) LTD
GODIGIT,GO DIGIT GENERAL INS LTD
BRIGADE,BRIGADE ENTER. LTD
STARHEALTH,STAR HEALTH & AL INS CO L
BANDHANBNK,BANDHAN BANK LTD
POONAWALLA,POONAWALLA FINCORP LTD
AIIL,AUTHUM INVEST & INFRA LTD
ISEC,ICICI SECURITIES LTD
ANGELONE,ANGEL ONE LTD
PNBHOUSING,PNB HOUSING FIN LTD.
NUVAMA,NUVAMA WEALTH MANAGE LTD
PEL,PIRAMAL ENTERPRISES LTD
CAMS,COMPUTER AGE MNGT SER LTD
FIVESTAR,FIVE-STAR BUS FIN LTD
SIGNATURE,SIGNATUREGLOBAL INDIA LTD
IIFL,IIFL FINANCE LTD
AADHARHFC,AADHAR HOUSING FINANCE L
KARURVYSYA,KARUR VYSYA BANK LTD
APTUS,APTUS VALUE HSG FIN I LTD
UTIAMC,UTI ASSET MNGMT CO LTD
ANANDRATHI,ANAND RATHI WEALTH LTD
SOBHA,SOBHA LTD
CGCL,CAPRI GLOBAL CAPITAL LTD
IEX,INDIAN ENERGY EXC LTD
CREDITACC,CREDITACCESS GRAMEEN LTD
IFCI,IFCI LTD
PRUDENT,PRUDENT CORP ADV SER LTD
JMFINANCIL,JM FINANCIAL LTD
MANAPPURAM,MANAPPURAM FINANCE LTD
AAVAS,AAVAS FINANCIERS LTD
CUB,CITY UNION BANK LTD
UJJIVANSFB,UJJIVAN SMALL FINANC BANK
IIFLSEC,IIFL SECURITIES LTD
