symbol,name
APOLLOHOSP,APOLLO HOSPITALS ENTER. L
MAXHEALTH,MAX HEALTHCARE INS LTD
FORTIS,FORTIS HEALTHCARE LTD
MEDANTA,GLOBAL HEALTH LTD
LALPATHLAB,DR. LAL PATH LABS LTD.
NH,NARAYANA HRUDAYALAYA LTD.
ASTERDM,ASTER DM HEALTHCARE LTD.
KIMS,KRISHNA INST OF MED SCI L
RAINBOW,RAINBOW CHILDRENS MED LTD
METROPOLIS,METROPOLIS HEALTHCARE LTD
VIJAYA,VIJAYA DIAGNOSTIC CEN LTD
JLHL,JUPITER LIFE LINE HOSP L
HCG,HEALTHCARE GLOB. ENT. LTD
YATHARTH,YATHARTH HOSP & TRA C S L
THYROCARE,THYROCARE TECH LTD
JSLL,JEENA SIKHO LIFECARE LTD
ARTEMISMED,ARTEMIS MED SERVICE LTD
INDRAMEDCO,INDRAPRASTHA MEDICAL CORP
KRSNAA,KRSNAA DIAGNOSTICS LTD
SHALBY,SHALBY LTD
GPTHEALTH,GPT HEALTHCARE LTD
MAXIND,MAX INDIA LTD
MAITREYA,MAITREYA MEDICARE LTD
LOTUSEYE,LOTUS EYE HOSP & INST L
MADHAVBAUG,VAIDYA SANE AYUR LAB LTD
SANGANI,SANGANI HOSPITALS LTD
AATMAJ,AATMAJ HEALTHCARE LTD
