symbol,name
SUNPHARMA,SUN PHARMACEUTICAL IND L
DIVISLAB,DIVI S LABORATORIES LTD
CIPLA,CIPLA LTD
TORNTPHARM,TORRENT PHARMACEUTICALS L
MANKIND,MANKIND PHARMA LTD
DRREDDY,DR. REDDY S LABORATORIES
ZYDUSLIFE,ZYDUS LIFESCIENCES LTD
LUPIN,LUPIN LTD
AUROPHARMA,AUROBINDO PHARMA LTD
ALKEM,ALKEM LABORATORIES LTD.
ABBOTINDIA,ABBOTT INDIA LTD
GLENMARK,GLENMARK PHARMACEUTICALS
GLAXO,GLAXOSMITHKLINE PHARMA LTD
IPCALAB,IPCA LABORATORIES LTD
AJANTPHARM,AJANTA PHARMA LTD
BIOCON,BIOCON LIMITED.
PPLPHARMA,PIRAMAL PHARMA LTD
POLYMED,POLY MEDICURE LTD
JBCHEPHARM,J B CHEMICALS AND PHARMA
EMCURE,EMCURE PHARMACEUTICALS L
GLAND,GLAND PHARMA LTD
LAURUSLABS,LAURUS LABS LTD
NATCOPHARM,NATCO PHARMA LTD.
PFIZER,PFIZER LTD
APLLTD,ALEMBIC PHARMA LTD
JUBLPHARMA,JUBILANT PHARMOVA LTD
WOCKPHARMA,WOCKHARDT LTD
ASTRAZEN,ASTRAZENECA PHARMA
NEULANDLAB,NEULAND LAB LTD.
ERIS,ERIS LIFESCIENCES LTD
SANOFI,SANOFI INDIA LTD
CAPLIPOINT,CAPLIN POINT LAB LTD.
STAR,STRIDES PHARMA SCI LTD
GRANULES,GRANULES INDIA LTD
AKUMS,AKUMS DRUGS AND PHARMA L
MARKSANS,MARKSANS PHARMA LTD
GLS,GLENMARK LIFE SCIENCE LTD
FDC,FDC LTD
PGHL,PROCTER & GAMBLE HEALTH L
BLUEJET,BLUE JET HEALTHCARE LTD
SHILPAMED,SHILPA MEDICARE LTD
ANURAS,ANUPAM RASAYAN INDIA LTD
AMIORG,AMI ORGANICS LTD
ORCHPHARMA,ORCHID PHARMA LTD
SPARC,SUN PHARMA ADV.RES.CO.LTD
UNICHEMLAB,UNICHEM LABORATORIES LTD
AARTIPHARM,AARTI PHARMALABS LTD
SUPRIYA,SUPRIYA LIFESCIENCE LTD
SEQUENT,SEQUENT SCIENTIFIC LTD.
HIKAL,HIKAL LTD
INNOVACAP,INNOVA CAPTAB LTD
AARTIDRUGS,AARTI DRUGS LTD.
MOREPENLAB,MOREPEN LAB. LTD
GUFICBIO,GUFIC BIOSCIENCES LTD.
RPGLIFE,RPG LIFE SCIENCES LTD
SOLARA,SOLARA ACTIVE PHA SCI LTD
ALEMBICLTD,ALEMBIC LTD
DCAL,DISHMAN CARBO AMCIS LTD
INDOCO,INDOCO REMEDIES LTD.
SUVEN,SUVEN LIFE SCIENCES LTD
SMSPHARMA,SMS PHARMACEUTICALS LTD.
THEMISMED,THEMIS MEDICARE LTD.
MICEL,MIC ELECTRONICS LTD
WINDLAS,WINDLAS BIOTECH LTD
AMRUTANJAN,AMRUTAJAN HEALTH LTD
TTKHLTCARE,TTK HEALTHCARE LTD
PANACEABIO,PANACEA BIOTEC LTD.
HESTERBIO,HESTER BIOSCIENCES LTD
SYNCOMF,SYNCOM FORMU (I) LTD
BETA,BETA DRUGS LTD
ZOTA,ZOTA HEALTH CARE LTD
SIGACHI,SIGACHI INDUSTRIES LTD
REMUS,REMUS PHARMACEUTICALS L
JAGSNPHARM,JAGSONPAL PHARMACEUTICALS
KOPRAN,KOPRAN LTD
LINCOLN,LINCOLN PHARMA LTD
BLISSGVS,BLISS GVS PHARMA LTD
NGLFINE,NGL FINE CHEM LTD
BAJAJHCARE,BAJAJ HEALTHCARE LTD
NECLIFE,NECTAR LIFESCIENCES LTD.
ALBERTDAVD,ALBERT DAVID LTD
WANBURY,WANBURY LTD
INDSWFTLAB,IND SWIFT LABORATORIES LTD
MEDICAMEQ,MEDICAMEN BIOTECH LTD
SAKAR,SAKAR HEALTHCARE LTD
ACCENTMIC,ACCENT MICROCELL LTD
ZIMLAB,ZIM LABORATORIES LTD
LYKALABS,LYKA LABS LTD
KILITCH,KILITCH DRUGS INDIA LTD
VALIANTLAB,VALIANT LABORATORIES LTD
MEDICO,MEDICO REMEDIES LTD
INFINIUM,INFINIUM PHARMACHEM LTD
SMSLIFE,SMS LIFESCIENCES (I) LTD
VENUSREM,VENUS REMEDIES LTD
BROOKS,BROOKS LAB LTD
OSELDEVICE,OSEL DEVICES LTD
NURECA,NURECA LTD
ALPA,ALPA LABORATORIES LTD
YASHOPTICS,YASH OPTICS & LENS LTD
ZENITHDRUG,ZENITH DRUGS LTD
VAISHALI,VAISHALI PHARMA LTD
BALPHARMA,BAL PHARMA LTD.
BAFNAPH,BAFNA PHARMACEUTICALS LTD
KREBSBIO,KREBS BIOCHEMICALS & IND
AAREYDRUGS,AAREY DRUGS & PHARM LTD
MANGALAM,MANGALAM DRUG & CHEM LTD
QUESTLAB,QUEST LABORATORIES LTD
LASA,LASA SUPERGENERICS LTD
SOTAC,SOTAC PHARMACEUTICALS LTD
INDSWFTLTD,IND-SWIFT LTD
BIOFILCHEM,BIOFIL CHEM & PHARMA LTD
MHHL,MOHINI HEALTH&HYGIENE LTD
MEDIORG,MEDICAMEN ORGANICS LTD
ORTINGLOBE,ORTIN GLOBAL LTD
