symbol,companyName,isin,industry
PRESTIGE,Prestige Estates Projects Limited,INE811K01011,Residential Commercial Projects
MCX,Multi Commodity Exchange of India Limited,INE745G01035,Exchange and Data Platform
BSE,BSE Limited,INE118H01025,Exchange and Data Platform
BDL,Bharat Dynamics Limited,INE171Z01026,Aerospace & Defense
ADANIGREEN,Adani Green Energy Limited,INE364U01010,Power Generation
VBL,Varun Beverages Limited,INE200M01021,Other Beverages
POLICYBZR,PB Fintech Limited,INE417T01026,Financial Technology (Fintech)
KEI,KEI Industries Limited,INE878B01027,Cables - Electricals
ZYDUSLIFE,Zydus Lifesciences Limited,INE010B01027,Pharmaceuticals
LUPIN,Lupin Limited,INE326A01037,Pharmaceuticals
HAL,Hindustan Aeronautics Limited,INE066F01020,Aerospace & Defense
CUMMINSIND,Cummins India Limited,INE298A01020,Compressors Pumps & Diesel Engines
TORNTPOWER,Torrent Power Limited,INE813H01021,Integrated Power Utilities
BEL,Bharat Electronics Limited,INE263A01024,Aerospace & Defense
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,INE615H01020,Railway Wagons
ANGELONE,Angel One Limited,INE732I01013,Stockbroking & Allied
KALYANKJIL,Kalyan Jewellers India Limited,INE303R01014,Gems Jewellery And Watches
APARINDS,Apar Industries Limited,INE372A01015,Other Electrical Equipment
GLENMARK,Glenmark Pharmaceuticals Limited,INE935A01035,Pharmaceuticals
TRENT,Trent Limited,INE849A13017,Speciality Retail
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,Pharmaceuticals
JPPOWER,Jaiprakash Power Ventures Limited,INE351F01018,Power Generation
NCC,NCC Limited,INE868B01028,Civil Construction
SUPREMEIND,Supreme Industries Limited,INE195A01028,Plastic Products - Industrial
NHPC,NHPC Limited,INE848E07542,Power Generation
TVSMOTOR,TVS Motor Company Limited,INE494B01023,2/3 Wheelers
UNIONBANK,Union Bank of India,INE692A01016,Public Sector Bank
SUZLON,Suzlon Energy Limited,INE040H01021,Heavy Electrical Equipment
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,2/3 Wheelers
JSL,Jindal Stainless Limited,INE220G01021,Iron & Steel
BSOFT,BIRLASOFT LIMITED,INE836A01035,Computers - Software & Consulting
ADANIPOWER,Adani Power Limited,INE814H01011,Integrated Power Utilities
PFC,Power Finance Corporation Limited,INE134E07422,Financial Institution
NBCC,NBCC (India) Limited,INE095N01031,Civil Construction
RVNL,Rail Vikas Nigam Limited,INE415G01027,Civil Construction
RECLTD,REC Limited,INE020B07IF7,Financial Institution
DIXON,Dixon Technologies (India) Limited,INE935N01020,Consumer Electronics
IRFC,Indian Railway Finance Corporation Limited,INE053F07561,Financial Institution
HINDCOPPER,Hindustan Copper Limited,INE531E01026,Copper
LODHA,Macrotech Developers Limited,INE670K01029,Residential Commercial Projects
SJVN,SJVN Limited,INE002L01015,Power Generation
PNB,Punjab National Bank,INE160A01022,Public Sector Bank
ABB,ABB India Limited,INE117A01022,Heavy Electrical Equipment
INDIANB,Indian Bank,INE562A01011,Public Sector Bank
OFSS,Oracle Financial Services Software Limited,INE881D01027,Software Products
ZOMATO,Zomato Limited,INE758T01015,E-Retail/ E-Commerce
BHEL,Bharat Heavy Electricals Limited,INE257A01026,Heavy Electrical Equipment
CANBK,Canara Bank,INE476A01022,Public Sector Bank
HUDCO,Housing & Urban Development Corporation Limited,INE031A07857,Financial Institution
GICRE,General Insurance Corporation of India,INE481Y01014,General Insurance
