symbol,name,isin,industry
M&M,Mahindra & Mahindra Limited,INE101A01026,Passenger Cars & Utility Vehicles
TATAMOTORS,Tata Motors Limited,INE155A01022,Passenger Cars & Utility Vehicles
BHARATFORG,Bharat Forge Limited,INE465A01025,Auto Components & Equipments
ASHOKLEY,Ashok Leyland Limited,INE208A01029,Commercial Vehicles
EICHERMOT,Eicher Motors Limited,INE066A01021,2/3 Wheelers
MOTHERSON,Samvardhana Motherson International Limited,INE775A01035,Auto Components & Equipments
MRF,MRF Limited,INE883A01011,Tyres & Rubber Products
HEROMOTOCO,Hero MotoCorp Limited,INE158A01026,2/3 Wheelers
TVSMOTOR,TVS Motor Company Limited,INE494B01023,2/3 Wheelers
EXIDEIND,Exide Industries Limited,INE302A01020,Auto Components & Equipments
BALKRISIND,Balkrishna Industries Limited,INE787D01026,Tyres & Rubber Products
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,2/3 Wheelers
MARUTI,Maruti Suzuki India Limited,INE585B01010,Passenger Cars & Utility Vehicles
BOSCHLTD,Bosch Limited,INE323A01026,Auto Components & Equipments
APOLLOTYRE,Apollo Tyres Limited,INE438A01022,Tyres & Rubber Products
