symbol,companyName,isin,industry
HINDPETRO,Hindustan Petroleum Corporation Limited,INE169701013,Refineries & Marketing
DEEPAKNTR,Deepak Nitrite Limited,INE288B01029,Specialty Chemicals
APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,Iron & Steel Products
GRASIM,Grasim Industries Limited,INE047A01021,Cement & Cement Products
PIDILITIND,Pidilite Industries Limited,INE318A01026,Specialty Chemicals
UPL,UPL Limited,INE628A03024,Pesticides & Agrochemicals
AMBUJACEM,Ambuja Cements Limited,INE079A01024,Cement & Cement Products
ADANIGREEN,Adani Green Energy Limited,INE364U01010,Power Generation
ULTRACEMCO,UltraTech Cement Limited,INE481G01011,Cement & Cement Products
SHREECEM,SHREE CEMENT LIMITED,INE070A01015,Cement & Cement Products
SRF,SRF Limited,INE647A01010,Specialty Chemicals
ACC,ACC Limited,INE012A01025,Cement & Cement Products
RELIANCE,Reliance Industries Limited,INE002A01018,Refineries & Marketing
DALBHARAT,Dalmia Bharat Limited,INE00R701025,Cement & Cement Products
BPCL,Bharat Petroleum Corporation Limited,INE029A01011,Refineries & Marketing
PIIND,PI Industries Limited,INE603J01030,Pesticides & Agrochemicals
IOC,Indian Oil Corporation Limited,INE242A01010,Refineries & Marketing
JSWSTEEL,JSW Steel Limited,INE019A04024,Iron & Steel
NTPC,NTPC Limited,INE733E07JE0,Power Generation
ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,Power Distribution
JINDALSTEL,Jindal Steel & Power Limited,INE749A01030,Iron & Steel
TATASTEEL,Tata Steel Limited,INE081A01020,Iron & Steel
ADANIPOWER,Adani Power Limited,INE814H01011,Integrated Power Utilities
SAIL,Steel Authority of India Limited,INE114A01011,Iron & Steel
VEDL,Vedanta Limited,INE205A01025,Diversified Metals
HINDALCO,Hindalco Industries Limited,IN9038A01010,Aluminium
TATACHEM,Tata Chemicals Limited,INE092A01019,Commodity Chemicals
TATAPOWER,Tata Power Company Limited,INE245A01021,Integrated Power Utilities
COALINDIA,Coal India Limited,INE522F01014,Coal
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,Oil Exploration & Production
