symbol,name,isin,industry
WHIRLPOOL,Whirlpool of India Limited,INE716A01013,Household Appliances
BLUESTARCO,Blue Star Limited,INE472A01039,Household Appliances
RAJESHEXPO,Rajesh Exports Limited,INE343B01030,Gems Jewellery And Watches
KALYANKJIL,Kalyan Jewellers India Limited,INE303R01014,Gems Jewellery And Watches
CERA,Cera Sanitaryware Limited,INE739E01017,Sanitary Ware
AMBER,Amber Enterprises India Limited,INE371P01015,Household Appliances
TITAN,Titan Company Limited,INE280A01028,Gems Jewellery And Watches
VGUARD,V-Guard Industries Limited,INE951I01027,Household Appliances
CROMPTON,Crompton Greaves Consumer Electricals Limited,INE299U01018,Household Appliances
HAVELLS,Havells India Limited,INE176B01034,Consumer Electronics
KAJARIACER,Kajaria Ceramics Limited,INE217B01036,Ceramics
DIXON,Dixon Technologies (India) Limited,INE935N01020,Consumer Electronics
BATAINDIA,Bata India Limited,INE176A01028,Footwear
CENTURYPLY,Century Plyboards (India) Limited,INE348B01021,Plywood Boards/ Laminates
VOLTAS,Voltas Limited,INE226A01021,Household Appliances
