symbol,companyName,isin,industry
ASIANPAINT,Asian Paints Limited,INE021A01026,Paints
UNITDSPR,United Spirits Limited,INE854D01024,Breweries & Distilleries
DABUR,Dabur India Limited,INE016A01026,Personal Care
HINDUNILVR,Hindustan Unilever Limited,INE030A01027,Diversified FMCG
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,Hospital
MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,Hospital
VBL,Varun Beverages Limited,INE200M01021,Other Beverages
DMART,Avenue Supermarts Limited,INE192R01011,Diversified Retail
COLPAL,Colgate Palmolive (India) Limited,INE259A01022,Personal Care
NESTLEIND,Nestle India Limited,INE239A01024,Packaged Foods
GODREJCP,Godrej Consumer Products Limited,INE102D01028,Personal Care
HEROMOTOCO,Hero MotoCorp Limited,INE158A01026,2/3 Wheelers
EICHERMOT,Eicher Motors Limited,INE066A01021,2/3 Wheelers
BRITANNIA,Britannia Industries Limited,INE216A07052,Packaged Foods
HAVELLS,Havells India Limited,INE176B01034,Consumer Electronics
ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,Power Distribution
TRENT,Trent Limited,INE849A13017,Speciality Retail
DLF,DLF Limited,INE271C01023,Residential Commercial Projects
BHARTIARTL,Bharti Airtel Limited,INE397D01024,Telecom - Cellular & Fixed line services
ITC,ITC Limited,INE154A01025,Diversified FMCG
TITAN,Titan Company Limited,INE280A07025,Gems Jewellery And Watches
INDHOTEL,The Indian Hotels Company Limited,INE053A13016,Hotels & Resorts
MARICO,Marico Limited,INE196A01026,Edible Oil
MARUTI,Maruti Suzuki India Limited,INE585B01010,Passenger Cars & Utility Vehicles
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,2/3 Wheelers
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,Tea & Coffee
NAUKRI,Info Edge (India) Limited,INE663F01024,Internet & Catalogue Retail
M&M,Mahindra & Mahindra Limited,INE101A01026,Passenger Cars & Utility Vehicles
ZOMATO,Zomato Limited,INE758T01015,E-Retail/ E-Commerce
TATAPOWER,Tata Power Company Limited,INE245A01021,Integrated Power Utilities
