symbol,companyName,isin,industry
COCHINSHIP,Cochin Shipyard Limited,INE704P01025,Ship Building & Allied Services
BEL,Bharat Electronics Limited,INE263A01024,Aerospace & Defense
NTPC,NTPC Limited,INE733E07JH3,Power Generation
NHPC,NHPC Limited,INE848E07542,Power Generation
POWERGRID,Power Grid Corporation of India Limited,INE752E01010,Power - Transmission
NLCINDIA,NLC India Limited,INE589A01014,Power Generation
NBCC,NBCC (India) Limited,INE095N01031,Civil Construction
SJVN,SJVN Limited,INE002L01015,Power Generation
COALINDIA,Coal India Limited,INE522F01014,Coal
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,Oil Exploration & Production
OIL,Oil India Limited,INE274J01014,Oil Exploration & Production
