symbol,companyName,isin,industry
ADANIGREEN,Adani Green Energy Limited,INE364U01010,Power Generation
RELIANCE,Reliance Industries Limited,INE002A01018,Refineries & Marketing
BPCL,Bharat Petroleum Corporation Limited,INE029A01011,Refineries & Marketing
IOC,Indian Oil Corporation Limited,INE242A01010,Refineries & Marketing
ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,Power Distribution
NTPC,NTPC Limited,INE733E07JH3,Power Generation
POWERGRID,Power Grid Corporation of India Limited,INE752E01010,Power - Transmission
TATAPOWER,Tata Power Company Limited,INE245A01021,Integrated Power Utilities
COALINDIA,Coal India Limited,INE522F01014,Coal
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,Oil Exploration & Production
