symbol,name,isin,industry
SBICARD,SBI Cards and Payment Services Limited,INE018E01016,Non Banking Financial Company (NBFC)
PFC,Power Finance Corporation Limited,INE134E01011,Financial Institution
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,INE121A01024,Non Banking Financial Company (NBFC)
AXISBANK,Axis Bank Limited,INE238A01034,Private Sector Bank
RECLTD,REC Limited,INE020B01018,Financial Institution
HDFCAMC,HDFC Asset Management Company Limited,INE127D01025,Asset Management Company
SBILIFE,SBI Life Insurance Company Limited,INE123W01016,Life Insurance
KOTAKBANK,Kotak Mahindra Bank Limited,INE237A01028,Private Sector Bank
BAJAJFINSV,Bajaj Finserv Limited,INE918I01026,Holding Company
LICHSGFIN,LIC Housing Finance Limited,INE115A01026,Housing Finance Company
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,INE726G01019,Life Insurance
HDFCLIFE,HDFC Life Insurance Company Limited,INE795G01014,Life Insurance
SHRIRAMFIN,Shriram Finance Limited,INE721A01013,Non Banking Financial Company (NBFC)
BAJFINANCE,Bajaj Finance Limited,INE296A01024,Non Banking Financial Company (NBFC)
MUTHOOTFIN,Muthoot Finance Limited,INE414G01012,Non Banking Financial Company (NBFC)
SBIN,State Bank of India,INE062A01020,Public Sector Bank
HDFCBANK,HDFC Bank Limited,INE040A01034,Private Sector Bank
ICICIGI,ICICI Lombard General Insurance Company Limited,INE765G01017,General Insurance
ICICIBANK,ICICI Bank Limited,INE090A01021,Private Sector Bank
MCX,Multi Commodity Exchange of India Limited,INE745G01035,Exchange and Data Platform
