symbol,name,isin,industry
VBL,Varun Beverages Limited,INE200M01039,Other Beverages
MARICO,Marico Limited,INE196A01026,Edible Oil
PGHH,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,Personal Care
NESTLEIND,Nestle India Limited,INE239A01024,Packaged Foods
DABUR,Dabur India Limited,INE016A01026,Personal Care
RADICO,Radico Khaitan Limited,INE944F01028,Breweries & Distilleries
HINDUNILVR,Hindustan Unilever Limited,INE030A01027,Diversified FMCG
BALRAMCHIN,Balrampur Chini Mills Limited,INE119A01028,Sugar
UNITDSPR,United Spirits Limited,INE854D01024,Breweries & Distilleries
ITC,ITC Limited,INE154A01025,Diversified FMCG
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,Tea & Coffee
COLPAL,Colgate Palmolive (India) Limited,INE259A01022,Personal Care
UBL,United Breweries Limited,INE686F01025,Breweries & Distilleries
BRITANNIA,Britannia Industries Limited,INE216A01030,Packaged Foods
GODREJCP,Godrej Consumer Products Limited,INE102D01028,Personal Care
