symbol,name,isin,industry
LAURUSLABS,Laurus Labs Limited,INE947Q01028,Pharmaceuticals
ABBOTINDIA,Abbott India Limited,INE358A01014,Pharmaceuticals
IPCALAB,IPCA Laboratories Limited,INE571A01038,Pharmaceuticals
LUPIN,Lupin Limited,INE326A01037,Pharmaceuticals
SUNPHARMA,Sun Pharmaceutical Industries Limited,INE044A01036,Pharmaceuticals
CIPLA,Cipla Limited,INE059A01026,Pharmaceuticals
SYNGENE,Syngene International Limited,INE398R01022,Healthcare Research Analytics & Technology
BIOCON,Biocon Limited,INE376G01013,Pharmaceuticals
GLENMARK,Glenmark Pharmaceuticals Limited,INE935A01035,Pharmaceuticals
DIVISLAB,Divi's Laboratories Limited,INE361B01024,Pharmaceuticals
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,Hospital
TORNTPHARM,Torrent Pharmaceuticals Limited,INE685A01028,Pharmaceuticals
GRANULES,Granules India Limited,INE101D01020,Pharmaceuticals
ZYDUSLIFE,Zydus Lifesciences Limited,INE010B01027,Pharmaceuticals
METROPOLIS,Metropolis Healthcare Limited,INE112L01020,Healthcare Service Provider
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,Pharmaceuticals
ALKEM,Alkem Laboratories Limited,INE540L01014,Pharmaceuticals
LALPATHLAB,Dr. Lal Path Labs Ltd.,INE600L01024,Healthcare Service Provider
DRREDDY,Dr. Reddy's Laboratories Limited,INE089A01031,Pharmaceuticals
MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,Hospital
