symbol,name,isin,industry
IDEA,Vodafone Idea Limited,INE669E01016,Telecom - Cellular & Fixed line services
M&M,Mahindra & Mahindra Limited,INE101A01026,Passenger Cars & Utility Vehicles
ZOMATO,Zomato Limited,INE758T01015,E-Retail/ E-Commerce
IRB,IRB Infrastructure Developers Limited,INE821I01022,Civil Construction
PNB,Punjab National Bank,INE160A01022,Public Sector Bank
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,Oil Exploration & Production
CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029,Heavy Electrical Equipment
BDL,Bharat Dynamics Limited,INE171Z01026,Aerospace & Defense
MRPL,Mangalore Refinery and Petrochemicals Limited,INE103A01014,Refineries & Marketing
DELHIVERY,Delhivery Limited,INE148O01028,Logistics Solution Provider
LINDEINDIA,Linde India Limited,INE473A01011,Industrial Gases
LTF,L&T Finance Limited,INE498L01015,Investment Company
TATATECH,Tata Technologies Limited,INE142M01025,IT Enabled Services
KPITTECH,KPIT Technologies Limited,INE04I401011,Computers - Software & Consulting
ADANIGREEN,Adani Green Energy Limited,INE364U01010,Power Generation
EMAMILTD,Emami Limited,INE548C01032,Personal Care
IDFCFIRSTB,IDFC First Bank Limited,INE092T01019,Private Sector Bank
SAIL,Steel Authority of India Limited,INE114A01011,Iron & Steel
SUNTV,Sun TV Network Limited,INE424H01027,TV Broadcasting & Software Production
IOC,Indian Oil Corporation Limited,INE242A01010,Refineries & Marketing
MSUMI,Motherson Sumi Wiring India Limited,INE0FS801015,Auto Components & Equipments
SUNDARMFIN,Sundaram Finance Limited,INE660A01013,Non Banking Financial Company (NBFC)
NHPC,NHPC Limited,INE848E01016,Power Generation
DMART,Avenue Supermarts Limited,INE192R01011,Diversified Retail
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,Speciality Retail
STARHEALTH,Star Health and Allied Insurance Company Limited,INE575P01011,General Insurance
COCHINSHIP,Cochin Shipyard Limited,INE704P01025,Ship Building & Allied Services
SUZLON,Suzlon Energy Limited,INE040H01021,Heavy Electrical Equipment
PHOENIXLTD,The Phoenix Mills Limited,INE211B01039,Residential Commercial Projects
NIACL,The New India Assurance Company Limited,INE470Y01017,General Insurance
