symbol,companyName,isin,industry
KAJARIACER,Kajaria Ceramics Limited,INE217B01036,Ceramics
SUMICHEM,Sumitomo Chemical India Limited,INE258G01013,Pesticides & Agrochemicals
SKFINDIA,SKF India Limited,INE640A01023,Abrasives & Bearings
APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,Iron & Steel Products
AJANTPHARM,Ajanta Pharma Limited,INE031B01049,Pharmaceuticals
SYNGENE,Syngene International Limited,INE398R01022,Healthcare Research Analytics & Technology
AUBANK,AU Small Finance Bank Limited,INE949L01017,Other Bank
BAYERCROP,Bayer Cropscience Limited,INE462A01022,Pesticides & Agrochemicals
KPRMILL,K.P.R. Mill Limited,INE930H01031,Other Textile Products
KANSAINER,Kansai Nerolac Paints Limited,INE531A01024,Paints
BALKRISIND,Balkrishna Industries Limited,INE787D01026,Tyres & Rubber Products
SUNTV,Sun TV Network Limited,INE424H01027,TV Broadcasting & Software Production
KEI,KEI Industries Limited,INE878B01027,Cables - Electricals
LALPATHLAB,Dr. Lal Path Labs Ltd.,INE600L01024,Healthcare Service Provider
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,Pharmaceuticals
PETRONET,Petronet LNG Limited,INE347G01014,LPG/CNG/PNG/LNG Supplier
CUMMINSIND,Cummins India Limited,INE298A01020,Compressors Pumps & Diesel Engines
ATUL,Atul Limited,INE100A01010,Specialty Chemicals
GRINDWELL,Grindwell Norton Limited,INE536A01023,Abrasives & Bearings
HDFCAMC,HDFC Asset Management Company Limited,INE127D01025,Asset Management Company
TIINDIA,Tube Investments of India Limited,INE974X01010,Auto Components & Equipments
ASTRAL,Astral Limited,INE006I01046,Plastic Products - Industrial
PIIND,PI Industries Limited,INE603J01030,Pesticides & Agrochemicals
SOLARINDS,Solar Industries India Limited,INE343H01029,Explosives
CARBORUNIV,Carborundum Universal Limited,INE120A01034,Abrasives & Bearings
ABBOTINDIA,Abbott India Limited,INE358A01014,Pharmaceuticals
EMAMILTD,Emami Limited,INE548C01032,Personal Care
SUPREMEIND,Supreme Industries Limited,INE195A01028,Plastic Products - Industrial
HONAUT,Honeywell Automation India Limited,INE671A01010,Industrial Products
SCHAEFFLER,Schaeffler India Limited,INE513A01022,Auto Components & Equipments
COROMANDEL,Coromandel International Limited,INE169A08010,Fertilizers
AIAENG,AIA Engineering Limited,INE212H01026,Castings & Forgings
POLYCAB,Polycab India Limited,INE455K01017,Cables - Electricals
IGL,Indraprastha Gas Limited,INE203G01027,LPG/CNG/PNG/LNG Supplier
PGHH,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,Personal Care
ISEC,ICICI Securities Limited,INE763G01038,Stockbroking & Allied
PAGEIND,Page Industries Limited,INE761H01022,Garments & Apparels
MUTHOOTFIN,Muthoot Finance Limited,INE414G07241,Non Banking Financial Company (NBFC)
CRISIL,CRISIL Limited,INE007A01025,Other Financial Services
PERSISTENT,Persistent Systems Limited,INE262H01021,Computers - Software & Consulting
COFORGE,Coforge Limited,INE591G01017,Computers - Software & Consulting
LTTS,L&T Technology Services Limited,INE010V01017,IT Enabled Services
VOLTAS,Voltas Limited,INE226A01021,Household Appliances
TATAELXSI,Tata Elxsi Limited,INE670A01012,Computers - Software & Consulting
NMDC,NMDC Limited,INE584A01023,Industrial Minerals
HINDZINC,Hindustan Zinc Limited,INE267A01025,Zinc
MPHASIS,MphasiS Limited,INE356A01018,Computers - Software & Consulting
3MINDIA,3M India Limited,INE470A01017,Diversified
GUJGASLTD,Gujarat Gas Limited,INE844O01030,LPG/CNG/PNG/LNG Supplier
OFSS,Oracle Financial Services Software Limited,INE881D01027,Software Products
