symbol,name,isin,industry
HATHWAY,Hathway Cable & Datacom Limited,INE982F01036,TV Broadcasting & Software Production
SUNTV,Sun TV Network Limited,INE424H01027,TV Broadcasting & Software Production
DISHTV,Dish TV India Limited,INE836F01026,TV Broadcasting & Software Production
ZEEL,Zee Entertainment Enterprises Limited,INE256A01028,TV Broadcasting & Software Production
PVRINOX,PVR INOX Limited,INE191H01014,Film Production Distribution & Exhibition
DEN,Den Networks Limited,INE947J01015,TV Broadcasting & Software Production
NAZARA,Nazara Technologies Limited,INE418L01021,Digital Entertainment
TIPSMUSIC,Tips Music Limited,INE716B01029,Media & Entertainment
NETWORK18,Network18 Media & Investments Limited,INE870H01013,Media & Entertainment
SAREGAMA,Saregama India Limited,INE979A01025,Media & Entertainment
