symbol,name,isin,industry
SAIL,Steel Authority of India Limited,INE114A01011,Iron & Steel
APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,Iron & Steel Products
JINDALSTEL,Jindal Steel & Power Limited,INE749A01030,Iron & Steel
VEDL,Vedanta Limited,INE205A01025,Diversified Metals
HINDALCO,Hindalco Industries Limited,INE038A01020,Aluminium
JSL,Jindal Stainless Limited,INE220G01021,Iron & Steel
HINDZINC,Hindustan Zinc Limited,INE267A01025,Zinc
TATASTEEL,Tata Steel Limited,INE081A01020,Iron & Steel
WELCORP,Welspun Corp Limited,INE191B01025,Iron & Steel Products
NATIONALUM,National Aluminium Company Limited,INE139A01034,Aluminium
HINDCOPPER,Hindustan Copper Limited,INE531E01026,Copper
NMDC,NMDC Limited,INE584A01023,Industrial Minerals
JSWSTEEL,JSW Steel Limited,INE019A01038,Iron & Steel
ADANIENT,Adani Enterprises Limited,INE423A01024,Trading - Minerals
RATNAMANI,Ratnamani Metals & Tubes Limited,INE703B01027,Iron & Steel Products
