symbol,companyName,isin,industry
UPL,UPL Limited,INE628A03024,Pesticides & Agrochemicals
LUPIN,Lupin Limited,INE326A01037,Pharmaceuticals
HDFCAMC,HDFC Asset Management Company Limited,INE127D01025,Asset Management Company
BANDHANBNK,Bandhan Bank Limited,INE545U01014,Private Sector Bank
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,Pharmaceuticals
ASHOKLEY,Ashok Leyland Limited,INE208A01029,Commercial Vehicles
GODREJPROP,Godrej Properties Limited,INE484J01027,Residential Commercial Projects
POLYCAB,Polycab India Limited,INE455K01017,Cables - Electricals
IDFCFIRSTB,IDFC First Bank Limited,INE092T08CP8,Private Sector Bank
JUBLFOOD,Jubilant Foodworks Limited,INE797F01020,Restaurants
PAGEIND,Page Industries Limited,INE761H01022,Garments & Apparels
PERSISTENT,Persistent Systems Limited,INE262H01021,Computers - Software & Consulting
COFORGE,Coforge Limited,INE591G01017,Computers - Software & Consulting
DIXON,Dixon Technologies (India) Limited,INE935N01020,Consumer Electronics
FEDERALBNK,The Federal Bank  Limited,INE171A01029,Private Sector Bank
