symbol,name,isin,industry
IDEA,Vodafone Idea Limited,INE669E01016,Telecom - Cellular & Fixed line services
IDFCFIRSTB,IDFC First Bank Limited,INE092T01019,Private Sector Bank
INDHOTEL,The Indian Hotels Company Limited,INE053A01029,Hotels & Resorts
BHARATFORG,Bharat Forge Limited,INE465A01025,Auto Components & Equipments
ASHOKLEY,Ashok Leyland Limited,INE208A01029,Commercial Vehicles
MPHASIS,MphasiS Limited,INE356A01018,Computers - Software & Consulting
PIIND,PI Industries Limited,INE603J01030,Pesticides & Agrochemicals
AUBANK,AU Small Finance Bank Limited,INE949L01017,Other Bank
HDFCAMC,HDFC Asset Management Company Limited,INE127D01025,Asset Management Company
INDUSTOWER,Indus Towers Limited,INE121J01017,Telecom - Infrastructure
MRF,MRF Limited,INE883A01011,Tyres & Rubber Products
LUPIN,Lupin Limited,INE326A01037,Pharmaceuticals
SRF,SRF Limited,INE647A01010,Specialty Chemicals
DIXON,Dixon Technologies (India) Limited,INE935N01020,Consumer Electronics
CUMMINSIND,Cummins India Limited,INE298A01020,Compressors Pumps & Diesel Engines
POLYCAB,Polycab India Limited,INE455K01017,Cables - Electricals
PERSISTENT,Persistent Systems Limited,INE262H01021,Computers - Software & Consulting
GODREJPROP,Godrej Properties Limited,INE484J01027,Residential Commercial Projects
COLPAL,Colgate Palmolive (India) Limited,INE259A01022,Personal Care
FEDERALBNK,The Federal Bank  Limited,INE171A01029,Private Sector Bank
HINDPETRO,Hindustan Petroleum Corporation Limited,INE094A01015,Refineries & Marketing
CONCOR,Container Corporation of India Limited,INE111A01025,Logistics Solution Provider
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,Pharmaceuticals
VOLTAS,Voltas Limited,INE226A01021,Household Appliances
COFORGE,Coforge Limited,INE591G01017,Computers - Software & Consulting
