symbol,name,isin,industry
IDEA,Vodafone Idea Limited,INE669E01016,Telecom - Cellular & Fixed line services
IRB,IRB Infrastructure Developers Limited,INE821I01022,Civil Construction
CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029,Heavy Electrical Equipment
BDL,Bharat Dynamics Limited,INE171Z01026,Aerospace & Defense
MRPL,Mangalore Refinery and Petrochemicals Limited,INE103A01014,Refineries & Marketing
DELHIVERY,Delhivery Limited,INE148O01028,Logistics Solution Provider
LTF,L&T Finance Limited,INE498L01015,Investment Company
TATATECH,Tata Technologies Limited,INE142M01025,IT Enabled Services
KPITTECH,KPIT Technologies Limited,INE04I401011,Computers - Software & Consulting
IDFCFIRSTB,IDFC First Bank Limited,INE092T01019,Private Sector Bank
SAIL,Steel Authority of India Limited,INE114A01011,Iron & Steel
SUNDARMFIN,Sundaram Finance Limited,INE660A01013,Non Banking Financial Company (NBFC)
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,Speciality Retail
COCHINSHIP,Cochin Shipyard Limited,INE704P01025,Ship Building & Allied Services
SUZLON,Suzlon Energy Limited,INE040H01021,Heavy Electrical Equipment
PHOENIXLTD,The Phoenix Mills Limited,INE211B01039,Residential Commercial Projects
SONACOMS,Sona BLW Precision Forgings Limited,INE073K01018,Auto Components & Equipments
KALYANKJIL,Kalyan Jewellers India Limited,INE303R01014,Gems Jewellery And Watches
YESBANK,Yes Bank Limited,INE528G01035,Private Sector Bank
BANKINDIA,Bank of India,INE084A01016,Public Sector Bank
INDHOTEL,The Indian Hotels Company Limited,INE053A01029,Hotels & Resorts
ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,Investment Company
SBICARD,SBI Cards and Payment Services Limited,INE018E01016,Non Banking Financial Company (NBFC)
SJVN,SJVN Limited,INE002L01015,Power Generation
JSWINFRA,JSW Infrastructure Limited,INE880J01026,Port & Port services
MARICO,Marico Limited,INE196A01026,Edible Oil
NYKAA,FSN E-Commerce Ventures Limited,INE388Y01029,E-Retail/ E-Commerce
SUPREMEIND,Supreme Industries Limited,INE195A01028,Plastic Products - Industrial
TATAELXSI,Tata Elxsi Limited,INE670A01012,Computers - Software & Consulting
APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,Iron & Steel Products
MAHABANK,Bank of Maharashtra,INE457A01014,Public Sector Bank
PETRONET,Petronet LNG Limited,INE347G01014,LPG/CNG/PNG/LNG Supplier
BHARATFORG,Bharat Forge Limited,INE465A01025,Auto Components & Equipments
IDBI,IDBI Bank Limited,INE008A01015,Private Sector Bank
TORNTPOWER,Torrent Power Limited,INE813H01021,Integrated Power Utilities
M&MFIN,Mahindra & Mahindra Financial Services Limited,INE774D01024,Non Banking Financial Company (NBFC)
IOB,Indian Overseas Bank,INE565A01014,Public Sector Bank
ASHOKLEY,Ashok Leyland Limited,INE208A01029,Commercial Vehicles
PATANJALI,Patanjali Foods Limited,INE619A01035,Edible Oil
