symbol,name,isin,industry
POLYMED,Poly Medicure Limited,INE205C01021,Medical Equipment & Supplies
BASF,BASF India Limited,INE373A01013,Specialty Chemicals
PPLPHARMA,Piramal Pharma Limited,INE0DK501011,Pharmaceuticals
NCC,NCC Limited,INE868B01028,Civil Construction
JUBLPHARMA,Jubilant Pharmova Limited,INE700A01033,Pharmaceuticals
KIRLOSBROS,Kirloskar Brothers Limited,INE732A01036,Compressors Pumps & Diesel Engines
MOTILALOFS,Motilal Oswal Financial Services Limited,INE338I01027,Stockbroking & Allied
RBLBANK,RBL Bank Limited,INE976G01028,Private Sector Bank
IIFL,IIFL Finance Limited,INE530B01024,Non Banking Financial Company (NBFC)
BRIGADE,Brigade Enterprises Limited,INE791I01019,Residential Commercial Projects
IDEA,Vodafone Idea Limited,INE669E01016,Telecom - Cellular & Fixed line services
EIHOTEL,EIH Limited,INE230A01023,Hotels & Resorts
PCBL,PCBL LIMITED,INE602A01031,Carbon Black
IRB,IRB Infrastructure Developers Limited,INE821I01022,Civil Construction
HEG,HEG Limited,INE545A01024,Electrodes & Refractories
CAMPUS,Campus Activewear Limited,INE278Y01022,Footwear
CHALET,Chalet Hotels Limited,INE427F01016,Hotels & Resorts
SWSOLAR,Sterling and Wilson Renewable Energy Limited,INE00M201021,Civil Construction
CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029,Heavy Electrical Equipment
BDL,Bharat Dynamics Limited,INE171Z01026,Aerospace & Defense
NBCC,NBCC (India) Limited,INE095N01031,Civil Construction
MRPL,Mangalore Refinery and Petrochemicals Limited,INE103A01014,Refineries & Marketing
GODIGIT,Go Digit General Insurance Limited,INE03JT01014,General Insurance
WHIRLPOOL,Whirlpool of India Limited,INE716A01013,Household Appliances
DELHIVERY,Delhivery Limited,INE148O01028,Logistics Solution Provider
BLUESTARCO,Blue Star Limited,INE472A01039,Household Appliances
AARTIIND,Aarti Industries Limited,INE769A01020,Specialty Chemicals
LINDEINDIA,Linde India Limited,INE473A01011,Industrial Gases
UTIAMC,UTI Asset Management Company Limited,INE094J01016,Asset Management Company
TANLA,Tanla Platforms Limited,INE483C01032,Software Products
CHENNPETRO,Chennai Petroleum Corporation Limited,INE178A01016,Refineries & Marketing
TBOTEK,TBO Tek Limited,INE673O01025,Tour Travel Related Services
LTF,L&T Finance Limited,INE498L01015,Investment Company
TRITURBINE,Triveni Turbine Limited,INE152M01016,Heavy Electrical Equipment
CRAFTSMAN,Craftsman Automation Limited,INE00LO01017,Auto Components & Equipments
ANANTRAJ,Anant Raj Limited,INE242C01024,Residential Commercial Projects
WESTLIFE,WESTLIFE FOODWORLD LIMITED,INE274F01020,Restaurants
TATATECH,Tata Technologies Limited,INE142M01025,IT Enabled Services
KPITTECH,KPIT Technologies Limited,INE04I401011,Computers - Software & Consulting
JKLAKSHMI,JK Lakshmi Cement Limited,INE786A01032,Cement & Cement Products
BIRLACORPN,Birla Corporation Limited,INE340A01012,Cement & Cement Products
EMAMILTD,Emami Limited,INE548C01032,Personal Care
DOMS,DOMS Industries Limited,INE321T01012,Stationary
MAHSEAMLES,Maharashtra Seamless Limited,INE271B01025,Iron & Steel Products
IDFCFIRSTB,IDFC First Bank Limited,INE092T01019,Private Sector Bank
SAIL,Steel Authority of India Limited,INE114A01011,Iron & Steel
SUNTV,Sun TV Network Limited,INE424H01027,TV Broadcasting & Software Production
CASTROLIND,Castrol India Limited,INE172A01027,Lubricants
BLS,BLS International Services Limited,INE153T01027,Tour Travel Related Services
NUVOCO,Nuvoco Vistas Corporation Limited,INE118D01016,Cement & Cement Products
UJJIVANSFB,Ujjivan Small Finance Bank Limited,INE551W01018,Other Bank
ERIS,Eris Lifesciences Limited,INE406M01024,Pharmaceuticals
MAHLIFE,Mahindra Lifespace Developers Limited,INE813A01018,Residential Commercial Projects
IFCI,IFCI Limited,INE039A01010,Financial Institution
MSUMI,Motherson Sumi Wiring India Limited,INE0FS801015,Auto Components & Equipments
SUNDARMFIN,Sundaram Finance Limited,INE660A01013,Non Banking Financial Company (NBFC)
TECHNOE,Techno Electric & Engineering Company Limited,INE285K01026,Civil Construction
AKUMS,Akums Drugs and Pharmaceuticals Limited,INE09XN01023,Pharmaceuticals
LEMONTREE,Lemon Tree Hotels Limited,INE970X01018,Hotels & Resorts
TTML,Tata Teleservices (Maharashtra) Limited,INE517B01013,Telecom - Cellular & Fixed line services
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,Speciality Retail
STARHEALTH,Star Health and Allied Insurance Company Limited,INE575P01011,General Insurance
INDIAMART,Indiamart Intermesh Limited,INE933S01016,Internet & Catalogue Retail
JYOTICNC,Jyoti CNC Automation Limited,INE980O01024,Industrial Products
ECLERX,eClerx Services Limited,INE738I01010,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
COCHINSHIP,Cochin Shipyard Limited,INE704P01025,Ship Building & Allied Services
SUZLON,Suzlon Energy Limited,INE040H01021,Heavy Electrical Equipment
KEC,KEC International Limited,INE389H01022,Civil Construction
PHOENIXLTD,The Phoenix Mills Limited,INE211B01039,Residential Commercial Projects
CAMS,Computer Age Management Services Limited,INE596I01012,Depositories Clearing Houses and Other Intermediaries
RAJESHEXPO,Rajesh Exports Limited,INE343B01030,Gems Jewellery And Watches
NIACL,The New India Assurance Company Limited,INE470Y01017,General Insurance
TEJASNET,Tejas Networks Limited,INE010J01012,Telecom - Equipment & Accessories
SONACOMS,Sona BLW Precision Forgings Limited,INE073K01018,Auto Components & Equipments
WELSPUNLIV,Welspun Living Limited,INE192B01031,Other Textile Products
KALYANKJIL,Kalyan Jewellers India Limited,INE303R01014,Gems Jewellery And Watches
RRKABEL,R R Kabel Limited,INE777K01022,Cables - Electricals
LAURUSLABS,Laurus Labs Limited,INE947Q01028,Pharmaceuticals
PNCINFRA,PNC Infratech Limited,INE195J01029,Civil Construction
