symbol,name,isin,industry
POLYMED,Poly Medicure Limited,INE205C01021,Medical Equipment & Supplies
PPLPHARMA,Piramal Pharma Limited,INE0DK501011,Pharmaceuticals
LAURUSLABS,Laurus Labs Limited,INE947Q01028,Pharmaceuticals
FORTIS,Fortis Healthcare Limited,INE061F01013,Hospital
NATCOPHARM,Natco Pharma Limited,INE987B01026,Pharmaceuticals
ABBOTINDIA,Abbott India Limited,INE358A01014,Pharmaceuticals
SUVENPHAR,Suven Pharmaceuticals Limited,INE03QK01018,Pharmaceuticals
IPCALAB,IPCA Laboratories Limited,INE571A01038,Pharmaceuticals
LUPIN,Lupin Limited,INE326A01037,Pharmaceuticals
MEDANTA,Global Health Limited,INE474Q01031,Hospital
SYNGENE,Syngene International Limited,INE398R01022,Healthcare Research Analytics & Technology
BIOCON,Biocon Limited,INE376G01013,Pharmaceuticals
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,Pharmaceuticals
AJANTPHARM,Ajanta Pharma Limited,INE031B01049,Pharmaceuticals
GLENMARK,Glenmark Pharmaceuticals Limited,INE935A01035,Pharmaceuticals
MANKIND,Mankind Pharma Limited,INE634S01028,Pharmaceuticals
GRANULES,Granules India Limited,INE101D01020,Pharmaceuticals
SANOFI,Sanofi India Limited,INE058A01010,Pharmaceuticals
METROPOLIS,Metropolis Healthcare Limited,INE112L01020,Healthcare Service Provider
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,Pharmaceuticals
ASTERDM,Aster DM Healthcare Limited,INE914M01019,Hospital
KIMS,Krishna Institute of Medical Sciences Limited,INE967H01025,Hospital
ALKEM,Alkem Laboratories Limited,INE540L01014,Pharmaceuticals
GLAND,Gland Pharma Limited,INE068V01023,Pharmaceuticals
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,INE572A01036,Pharmaceuticals
LALPATHLAB,Dr. Lal Path Labs Ltd.,INE600L01024,Healthcare Service Provider
APLLTD,Alembic Pharmaceuticals Limited,INE901L01018,Pharmaceuticals
MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,Hospital
NH,Narayana Hrudayalaya Ltd.,INE410P01011,Hospital
RAINBOW,Rainbow Childrens Medicare Limited,INE961O01016,Hospital
