symbol,companyName,isin,industry
SKFINDIA,SKF India Limited,INE640A01023,Abrasives & Bearings
UNITDSPR,United Spirits Limited,INE854D01024,Breweries & Distilleries
HINDUNILVR,Hindustan Unilever Limited,INE030A01027,Diversified FMCG
AMBUJACEM,Ambuja Cements Limited,INE079A01024,Cement & Cement Products
TIMKEN,Timken India Limited,INE325A01013,Abrasives & Bearings
COLPAL,Colgate Palmolive (India) Limited,INE259A01022,Personal Care
CUMMINSIND,Cummins India Limited,INE298A01020,Compressors Pumps & Diesel Engines
GRINDWELL,Grindwell Norton Limited,INE536A01023,Abrasives & Bearings
NESTLEIND,Nestle India Limited,INE239A01024,Packaged Foods
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,INE572A01036,Pharmaceuticals
BRITANNIA,Britannia Industries Limited,INE216A07052,Packaged Foods
ABBOTINDIA,Abbott India Limited,INE358A01014,Pharmaceuticals
ASHOKLEY,Ashok Leyland Limited,INE208A01029,Commercial Vehicles
UBL,United Breweries Limited,INE686F01025,Breweries & Distilleries
HONAUT,Honeywell Automation India Limited,INE671A01010,Industrial Products
ESCORTS,Escorts Kubota Limited,INE042A01014,Tractors
SCHAEFFLER,Schaeffler India Limited,INE513A01022,Auto Components & Equipments
GLAND,Gland Pharma Limited,INE068V01023,Pharmaceuticals
LINDEINDIA,Linde India Limited,INE473A01011,Industrial Gases
SIEMENS,Siemens Limited,INE003A01024,Heavy Electrical Equipment
PGHH,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,Personal Care
MARUTI,Maruti Suzuki India Limited,INE585B01010,Passenger Cars & Utility Vehicles
BATAINDIA,Bata India Limited,INE176A01028,Footwear
BOSCHLTD,Bosch Limited,INE323A01026,Auto Components & Equipments
CRISIL,CRISIL Limited,INE007A01025,Other Financial Services
VEDL,Vedanta Limited,INE205A01025,Diversified Metals
MPHASIS,MphasiS Limited,INE356A01018,Computers - Software & Consulting
3MINDIA,3M India Limited,INE470A01017,Diversified
ABB,ABB India Limited,INE117A01022,Heavy Electrical Equipment
OFSS,Oracle Financial Services Software Limited,INE881D01027,Software Products
