symbol,companyName,isin,industry
ASAHIINDIA,Asahi India Glass Limited,INE439A01020,Auto Components & Equipments
HINDPETRO,Hindustan Petroleum Corporation Limited,INE169701013,Refineries & Marketing
CERA,Cera Sanitaryware Limited,INE739E01017,Sanitary Ware
KAYNES,Kaynes Technology India Limited,INE918Z01012,Industrial Products
BRIGADE,Brigade Enterprises Limited,INE791I01019,Residential Commercial Projects
GRASIM,Grasim Industries Limited,INE047A01021,Cement & Cement Products
SAPPHIRE,Sapphire Foods India Limited,INE806T01012,Restaurants
CASTROLIND,Castrol India Limited,INE172A01027,Lubricants
AEGISLOG,Aegis Logistics Limited,INE208C01025,Trading - Gas
BIRLACORPN,Birla Corporation Limited,INE340A01012,Cement & Cement Products
KIMS,Krishna Institute of Medical Sciences Limited,INE967H01017,Hospital
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,Hospital
BALKRISIND,Balkrishna Industries Limited,INE787D01026,Tyres & Rubber Products
HFCL,HFCL Limited,INE548A01028,Telecom - Infrastructure
AMBUJACEM,Ambuja Cements Limited,INE079A01024,Cement & Cement Products
MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,Hospital
ULTRACEMCO,UltraTech Cement Limited,INE481G01011,Cement & Cement Products
APOLLOTYRE,Apollo Tyres Limited,INE438A01022,Tyres & Rubber Products
RAMCOCEM,The Ramco Cements Limited,INE331A01037,Cement & Cement Products
SHREECEM,SHREE CEMENT LIMITED,INE070A01015,Cement & Cement Products
PETRONET,Petronet LNG Limited,INE347G01014,LPG/CNG/PNG/LNG Supplier
CUMMINSIND,Cummins India Limited,INE298A01020,Compressors Pumps & Diesel Engines
MGL,Mahanagar Gas Limited,INE002S01010,LPG/CNG/PNG/LNG Supplier
KEC,KEC International Limited,INE389H01022,Civil Construction
NH,Narayana Hrudayalaya Ltd.,INE410P01011,Hospital
MRF,MRF Limited,INE883A01011,Tyres & Rubber Products
GESHIP,The Great Eastern Shipping Company Limited,INE017A01032,Shipping
ELGIEQUIP,Elgi Equipments Limited,INE285A01027,Compressors Pumps & Diesel Engines
VTL,Vardhman Textiles Limited,INE825A01020,Other Textile Products
TIINDIA,Tube Investments of India Limited,INE974X01010,Auto Components & Equipments
ACC,ACC Limited,INE012A01025,Cement & Cement Products
RELIANCE,Reliance Industries Limited,INE002A01018,Refineries & Marketing
JKCEMENT,JK Cement Limited,INE823G01014,Cement & Cement Products
BPCL,Bharat Petroleum Corporation Limited,INE029A01011,Refineries & Marketing
DALBHARAT,Dalmia Bharat Limited,INE00R701025,Cement & Cement Products
OBEROIRLTY,Oberoi Realty Limited,INE093I01010,Residential Commercial Projects
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,INE615H01020,Railway Wagons
GMMPFAUDLR,GMM Pfaudler Limited,INE541A01023,Industrial Products
WESTLIFE,WESTLIFE FOODWORLD LIMITED,INE274F01020,Restaurants
IOC,Indian Oil Corporation Limited,INE242A01010,Refineries & Marketing
JKLAKSHMI,JK Lakshmi Cement Limited,INE786A01032,Cement & Cement Products
PRAJIND,Praj Industries Limited,INE074A01025,Industrial Products
NTPC,NTPC Limited,INE733E07JH3,Power Generation
NCC,NCC Limited,INE868B01028,Civil Construction
GMRINFRA,GMR Airports Infrastructure Limited,INE776C01039,Airport & Airport services
ASHOKLEY,Ashok Leyland Limited,INE208A01029,Commercial Vehicles
INDIACEM,The India Cements Limited,INE383A01012,Cement & Cement Products
ROUTE,ROUTE MOBILE LIMITED,INE450U01017,Other Telecom Services
GODREJPROP,Godrej Properties Limited,INE484J01027,Residential Commercial Projects
BHARTIARTL,Bharti Airtel Limited,INE397D01024,Telecom - Cellular & Fixed line services
INDHOTEL,The Indian Hotels Company Limited,INE053A13016,Hotels & Resorts
CIEINDIA,CIE Automotive India Limited,INE536H01010,Auto Components & Equipments
MEDANTA,Global Health Limited,INE474Q01031,Hospital
PNCINFRA,PNC Infratech Limited,INE195J01029,Civil Construction
KPIL,Kalpataru Projects International Limited,INE220B01022,Civil Construction
POWERGRID,Power Grid Corporation of India Limited,INE752E01010,Power - Transmission
IGL,Indraprastha Gas Limited,INE203G01027,LPG/CNG/PNG/LNG Supplier
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,Port & Port services
EXIDEIND,Exide Industries Limited,INE302A01020,Auto Components & Equipments
CONCOR,Container Corporation of India Limited,INE111A01025,Logistics Solution Provider
REDINGTON,Redington Limited,INE891D01026,Trading & Distributors
JUBLFOOD,Jubilant Foodworks Limited,INE797F01020,Restaurants
IDEA,Vodafone Idea Limited,INE669E01016,Telecom - Cellular & Fixed line services
LT,Larsen & Toubro Limited,INE018A01030,Civil Construction
ARE&M,Amara Raja Energy & Mobility Limited,INE885A01032,Auto Components & Equipments
TATACOMM,Tata Communications Limited,INE151A01013,Telecom - Cellular & Fixed line services
CESC,CESC Limited,INE486A01021,Integrated Power Utilities
INDUSTOWER,Indus Towers Limited,INE121J01017,Telecom - Infrastructure
TEJASNET,Tejas Networks Limited,INE010J01012,Telecom - Equipment & Accessories
GUJGASLTD,Gujarat Gas Limited,INE844O01030,LPG/CNG/PNG/LNG Supplier
BHEL,Bharat Heavy Electricals Limited,INE257A01026,Heavy Electrical Equipment
GSPL,Gujarat State Petronet Limited,INE246F01010,Gas Transmission/Marketing
TATAPOWER,Tata Power Company Limited,INE245A01021,Integrated Power Utilities
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,Oil Exploration & Production
LEMONTREE,Lemon Tree Hotels Limited,INE970X01018,Hotels & Resorts
