symbol,name,isin,industry
ZOMATO,Zomato Limited,INE758T01015,E-Retail/ E-Commerce
PNB,Punjab National Bank,INE160A01022,Public Sector Bank
ADANIGREEN,Adani Green Energy Limited,INE364U01010,Power Generation
IOC,Indian Oil Corporation Limited,INE242A01010,Refineries & Marketing
NHPC,NHPC Limited,INE848E01016,Power Generation
DMART,Avenue Supermarts Limited,INE192R01011,Diversified Retail
VBL,Varun Beverages Limited,INE200M01039,Other Beverages
IRCTC,Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,Tour Travel Related Services
CANBK,Canara Bank,INE476A01022,Public Sector Bank
JIOFIN,Jio Financial Services Limited,INE758E01017,Non Banking Financial Company (NBFC)
BHEL,Bharat Heavy Electricals Limited,INE257A01026,Heavy Electrical Equipment
IRFC,Indian Railway Finance Corporation Limited,INE053F01010,Financial Institution
SHREECEM,SHREE CEMENT LIMITED,INE070A01015,Cement & Cement Products
PFC,Power Finance Corporation Limited,INE134E01011,Financial Institution
TATAPOWER,Tata Power Company Limited,INE245A01021,Integrated Power Utilities
HAL,Hindustan Aeronautics Limited,INE066F01020,Aerospace & Defense
BAJAJHLDNG,Bajaj Holdings & Investment Limited,INE118A01012,Holding Company
JINDALSTEL,Jindal Steel & Power Limited,INE749A01030,Iron & Steel
BANKBARODA,Bank of Baroda,INE028A01039,Public Sector Bank
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,INE121A01024,Non Banking Financial Company (NBFC)
VEDL,Vedanta Limited,INE205A01025,Diversified Metals
RECLTD,REC Limited,INE020B01018,Financial Institution
MOTHERSON,Samvardhana Motherson International Limited,INE775A01035,Auto Components & Equipments
LICI,Life Insurance Corporation Of India,INE0J1Y01017,Life Insurance
ADANIPOWER,Adani Power Limited,INE814H01011,Integrated Power Utilities
HAVELLS,Havells India Limited,INE176B01034,Consumer Electronics
TVSMOTOR,TVS Motor Company Limited,INE494B01023,2/3 Wheelers
JSWENERGY,JSW Energy Limited,INE121E01018,Power Generation
UNIONBANK,Union Bank of India,INE692A01016,Public Sector Bank
DABUR,Dabur India Limited,INE016A01026,Personal Care
ATGL,Adani Total Gas Limited,INE399L01023,LPG/CNG/PNG/LNG Supplier
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,INE726G01019,Life Insurance
INDIGO,InterGlobe Aviation Limited,INE646L01027,Airline
NAUKRI,Info Edge (India) Limited,INE663F01024,Internet & Catalogue Retail
DLF,DLF Limited,INE271C01023,Residential Commercial Projects
UNITDSPR,United Spirits Limited,INE854D01024,Breweries & Distilleries
DIVISLAB,Divi's Laboratories Limited,INE361B01024,Pharmaceuticals
TORNTPHARM,Torrent Pharmaceuticals Limited,INE685A01028,Pharmaceuticals
GAIL,GAIL (India) Limited,INE129A01019,Gas Transmission/Marketing
AMBUJACEM,Ambuja Cements Limited,INE079A01024,Cement & Cement Products
ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,Power Distribution
ZYDUSLIFE,Zydus Lifesciences Limited,INE010B01027,Pharmaceuticals
PIDILITIND,Pidilite Industries Limited,INE318A01026,Specialty Chemicals
LTIM,LTIMindtree Limited,INE214T01019,Computers - Software & Consulting
ICICIGI,ICICI Lombard General Insurance Company Limited,INE765G01017,General Insurance
BOSCHLTD,Bosch Limited,INE323A01026,Auto Components & Equipments
ABB,ABB India Limited,INE117A01022,Heavy Electrical Equipment
LODHA,Macrotech Developers Limited,INE670K01029,Residential Commercial Projects
SIEMENS,Siemens Limited,INE003A01024,Heavy Electrical Equipment
GODREJCP,Godrej Consumer Products Limited,INE102D01028,Personal Care
