symbol,name,isin,industry
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,Oil Exploration & Production
CASTROLIND,Castrol India Limited,INE172A01027,Lubricants
IOC,Indian Oil Corporation Limited,INE242A01010,Refineries & Marketing
GUJGASLTD,Gujarat Gas Limited,INE844O01030,LPG/CNG/PNG/LNG Supplier
PETRONET,Petronet LNG Limited,INE347G01014,LPG/CNG/PNG/LNG Supplier
BPCL,Bharat Petroleum Corporation Limited,INE029A01011,Refineries & Marketing
MGL,Mahanagar Gas Limited,INE002S01010,LPG/CNG/PNG/LNG Supplier
RELIANCE,Reliance Industries Limited,INE002A01018,Refineries & Marketing
ATGL,Adani Total Gas Limited,INE399L01023,LPG/CNG/PNG/LNG Supplier
OIL,Oil India Limited,INE274J01014,Oil Exploration & Production
IGL,Indraprastha Gas Limited,INE203G01027,LPG/CNG/PNG/LNG Supplier
GSPL,Gujarat State Petronet Limited,INE246F01010,Gas Transmission/Marketing
GAIL,GAIL (India) Limited,INE129A01019,Gas Transmission/Marketing
HINDPETRO,Hindustan Petroleum Corporation Limited,INE094A01015,Refineries & Marketing
AEGISLOG,Aegis Logistics Limited,INE208C01025,Trading - Gas
