symbol,name,isin,industry
LAURUSLABS,Laurus Labs Limited,INE947Q01028,Pharmaceuticals
NATCOPHARM,Natco Pharma Limited,INE987B01026,Pharmaceuticals
ABBOTINDIA,Abbott India Limited,INE358A01014,Pharmaceuticals
IPCALAB,IPCA Laboratories Limited,INE571A01038,Pharmaceuticals
LUPIN,Lupin Limited,INE326A01037,Pharmaceuticals
SUNPHARMA,Sun Pharmaceutical Industries Limited,INE044A01036,Pharmaceuticals
CIPLA,Cipla Limited,INE059A01026,Pharmaceuticals
BIOCON,Biocon Limited,INE376G01013,Pharmaceuticals
AJANTPHARM,Ajanta Pharma Limited,INE031B01049,Pharmaceuticals
GLENMARK,Glenmark Pharmaceuticals Limited,INE935A01035,Pharmaceuticals
DIVISLAB,Divi's Laboratories Limited,INE361B01024,Pharmaceuticals
TORNTPHARM,Torrent Pharmaceuticals Limited,INE685A01028,Pharmaceuticals
MANKIND,Mankind Pharma Limited,INE634S01028,Pharmaceuticals
GRANULES,Granules India Limited,INE101D01020,Pharmaceuticals
ZYDUSLIFE,Zydus Lifesciences Limited,INE010B01027,Pharmaceuticals
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,Pharmaceuticals
ALKEM,Alkem Laboratories Limited,INE540L01014,Pharmaceuticals
GLAND,Gland Pharma Limited,INE068V01023,Pharmaceuticals
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,INE572A01036,Pharmaceuticals
DRREDDY,Dr. Reddy's Laboratories Limited,INE089A01031,Pharmaceuticals
