symbol,companyName,isin,industry
HINDPETRO,Hindustan Petroleum Corporation Limited,INE169701013,Refineries & Marketing
HAL,Hindustan Aeronautics Limited,INE066F01020,Aerospace & Defense
BEL,Bharat Electronics Limited,INE263A01024,Aerospace & Defense
BPCL,Bharat Petroleum Corporation Limited,INE029A01011,Refineries & Marketing
IOC,Indian Oil Corporation Limited,INE242A01010,Refineries & Marketing
NTPC,NTPC Limited,INE733E07JE0,Power Generation
NHPC,NHPC Limited,INE848E07542,Power Generation
LICI,Life Insurance Corporation Of India,INE0J1Y01017,Life Insurance
POWERGRID,Power Grid Corporation of India Limited,INE752E01010,Power - Transmission
IRCTC,Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,Tour Travel Related Services
CONCOR,Container Corporation of India Limited,INE111A01025,Logistics Solution Provider
PFC,Power Finance Corporation Limited,INE134E07422,Financial Institution
SAIL,Steel Authority of India Limited,INE114A01011,Iron & Steel
RECLTD,REC Limited,INE020B07HO1,Financial Institution
GAIL,GAIL (India) Limited,INE129A01019,Gas Transmission/Marketing
NMDC,NMDC Limited,INE584A01023,Industrial Minerals
BHEL,Bharat Heavy Electricals Limited,INE257A01026,Heavy Electrical Equipment
COALINDIA,Coal India Limited,INE522F01014,Coal
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,Oil Exploration & Production
OIL,Oil India Limited,INE274J01014,Oil Exploration & Production
