symbol,name,isin,industry
PSB,Punjab & Sind Bank,INE608A01012,Public Sector Bank
PNB,Punjab National Bank,INE160A01022,Public Sector Bank
BANKINDIA,Bank of India,INE084A01016,Public Sector Bank
CANBK,Canara Bank,INE476A01022,Public Sector Bank
MAHABANK,Bank of Maharashtra,INE457A01014,Public Sector Bank
IOB,Indian Overseas Bank,INE565A01014,Public Sector Bank
BANKBARODA,Bank of Baroda,INE028A01039,Public Sector Bank
UCOBANK,UCO Bank,INE691A01018,Public Sector Bank
UNIONBANK,Union Bank of India,INE692A01016,Public Sector Bank
SBIN,State Bank of India,INE062A01020,Public Sector Bank
CENTRALBK,Central Bank of India,INE483A01010,Public Sector Bank
INDIANB,Indian Bank,INE562A01011,Public Sector Bank
