symbol,name,isin,industry
RBLBANK,RBL Bank Limited,INE976G01028,Private Sector Bank
IDFCFIRSTB,IDFC First Bank Limited,INE092T01019,Private Sector Bank
CUB,City Union Bank Limited,INE491A01021,Private Sector Bank
AXISBANK,Axis Bank Limited,INE238A01034,Private Sector Bank
BANDHANBNK,Bandhan Bank Limited,INE545U01014,Private Sector Bank
INDUSINDBK,IndusInd Bank Limited,INE095A01012,Private Sector Bank
KOTAKBANK,Kotak Mahindra Bank Limited,INE237A01028,Private Sector Bank
HDFCBANK,HDFC Bank Limited,INE040A01034,Private Sector Bank
FEDERALBNK,The Federal Bank  Limited,INE171A01029,Private Sector Bank
ICICIBANK,ICICI Bank Limited,INE090A01021,Private Sector Bank
