symbol,name,isin,industry
BRIGADE,Brigade Enterprises Limited,INE791I01019,Residential Commercial Projects
MAHLIFE,Mahindra Lifespace Developers Limited,INE813A01018,Residential Commercial Projects
PHOENIXLTD,The Phoenix Mills Limited,INE211B01039,Residential Commercial Projects
RAYMOND,Raymond Limited,INE301A01014,Residential Commercial Projects
OBEROIRLTY,Oberoi Realty Limited,INE093I01010,Residential Commercial Projects
DLF,DLF Limited,INE271C01023,Residential Commercial Projects
GODREJPROP,Godrej Properties Limited,INE484J01027,Residential Commercial Projects
SOBHA,Sobha Limited,INE671H01015,Residential Commercial Projects
PRESTIGE,Prestige Estates Projects Limited,INE811K01011,Residential Commercial Projects
LODHA,Macrotech Developers Limited,INE670K01029,Residential Commercial Projects
