symbol,name,isin,industry
PPLPHARMA,Piramal Pharma Limited,INE0DK501011,Pharmaceuticals
NCC,NCC Limited,INE868B01028,Civil Construction
RBLBANK,RBL Bank Limited,INE976G01028,Private Sector Bank
IIFL,IIFL Finance Limited,INE530B01024,Non Banking Financial Company (NBFC)
BRIGADE,Brigade Enterprises Limited,INE791I01019,Residential Commercial Projects
NBCC,NBCC (India) Limited,INE095N01031,Civil Construction
BLUESTARCO,Blue Star Limited,INE472A01039,Household Appliances
AARTIIND,Aarti Industries Limited,INE769A01020,Specialty Chemicals
CASTROLIND,Castrol India Limited,INE172A01027,Lubricants
INDIAMART,Indiamart Intermesh Limited,INE933S01016,Internet & Catalogue Retail
CAMS,Computer Age Management Services Limited,INE596I01012,Depositories Clearing Houses and Other Intermediaries
TEJASNET,Tejas Networks Limited,INE010J01012,Telecom - Equipment & Accessories
LAURUSLABS,Laurus Labs Limited,INE947Q01028,Pharmaceuticals
FINCABLES,Finolex Cables Limited,INE235A01022,Cables - Electricals
MANAPPURAM,Manappuram Finance Limited,INE522D01027,Non Banking Financial Company (NBFC)
BSOFT,BIRLASOFT LIMITED,INE836A01035,Computers - Software & Consulting
ZEEL,Zee Entertainment Enterprises Limited,INE256A01028,TV Broadcasting & Software Production
ARE&M,Amara Raja Energy & Mobility Limited,INE885A01032,Auto Components & Equipments
NATCOPHARM,Natco Pharma Limited,INE987B01026,Pharmaceuticals
RKFORGE,Ramkrishna Forgings Limited,INE399G01023,Auto Components & Equipments
KPIL,Kalpataru Projects International Limited,INE220B01022,Civil Construction
IEX,Indian Energy Exchange Limited,INE022Q01020,Exchange and Data Platform
CESC,CESC Limited,INE486A01021,Integrated Power Utilities
PVRINOX,PVR INOX Limited,INE191H01014,Film Production Distribution & Exhibition
ABREL,Aditya Birla Real Estate Limited,INE055A01016,Paper & Paper Products
CROMPTON,Crompton Greaves Consumer Electricals Limited,INE299U01018,Household Appliances
NATIONALUM,National Aluminium Company Limited,INE139A01034,Aluminium
NAVINFLUOR,Navin Fluorine International Limited,INE048G01026,Specialty Chemicals
CDSL,Central Depository Services (India) Limited,INE736A01011,Depositories Clearing Houses and Other Intermediaries
CYIENT,Cyient Limited,INE136B01020,IT Enabled Services
MGL,Mahanagar Gas Limited,INE002S01010,LPG/CNG/PNG/LNG Supplier
RADICO,Radico Khaitan Limited,INE944F01028,Breweries & Distilleries
KARURVYSYA,Karur Vysya Bank Limited,INE036D01028,Private Sector Bank
SONATSOFTW,Sonata Software Limited,INE269A01021,Computers - Software & Consulting
ATUL,Atul Limited,INE100A01010,Specialty Chemicals
GLENMARK,Glenmark Pharmaceuticals Limited,INE935A01035,Pharmaceuticals
HINDCOPPER,Hindustan Copper Limited,INE531E01026,Copper
GSPL,Gujarat State Petronet Limited,INE246F01010,Gas Transmission/Marketing
ANGELONE,Angel One Limited,INE732I01013,Stockbroking & Allied
HFCL,HFCL Limited,INE548A01028,Telecom - Infrastructure
PEL,Piramal Enterprises Limited,INE140A01024,Non Banking Financial Company (NBFC)
PNBHOUSING,PNB Housing Finance Limited,INE572E01012,Housing Finance Company
RAMCOCEM,The Ramco Cements Limited,INE331A01037,Cement & Cement Products
MCX,Multi Commodity Exchange of India Limited,INE745G01035,Exchange and Data Platform
APARINDS,Apar Industries Limited,INE372A01015,Other Electrical Equipment
GESHIP,The Great Eastern Shipping Company Limited,INE017A01032,Shipping
ZENSARTECH,Zensar Technologies Limited,INE520A01027,Computers - Software & Consulting
REDINGTON,Redington Limited,INE891D01026,Trading & Distributors
360ONE,360 ONE WAM LIMITED,INE466L01038,Stockbroking & Allied
NH,Narayana Hrudayalaya Ltd.,INE410P01011,Hospital
