symbol,companyName,isin,industry
TRENT,Trent Limited,INE849A13017,Speciality Retail
TITAN,Titan Company Limited,INE280A07025,Gems Jewellery And Watches
INDHOTEL,The Indian Hotels Company Limited,INE053A13016,Hotels & Resorts
TATASTEEL,Tata Steel Limited,INE081A03018,Iron & Steel
TATAMOTORS,Tata Motors Limited,INE155A01022,Passenger Cars & Utility Vehicles
TCS,Tata Consultancy Services Limited,INE467B01029,Computers - Software & Consulting
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,Tea & Coffee
VOLTAS,Voltas Limited,INE226A01021,Household Appliances
TATAELXSI,Tata Elxsi Limited,INE670A01012,Computers - Software & Consulting
TATAPOWER,Tata Power Company Limited,INE245A01021,Integrated Power Utilities
