symbol,name,isin,industry
PRUDENT,Prudent Corporate Advisory Services Limited,INE00F201020,Financial Products Distributor
POLYMED,Poly Medicure Limited,INE205C01021,Medical Equipment & Supplies
EMIL,Electronics Mart India Limited,INE02YR01019,Diversified Retail
BASF,BASF India Limited,INE373A01013,Specialty Chemicals
NRBBEARING,NRB Bearing Limited,INE349A01021,Auto Components & Equipments
GRAVITA,Gravita India Limited,INE024L01027,Industrial Minerals
ENTERO,Entero Healthcare Solutions Limited,INE010601016,Pharmacy Retail
PPLPHARMA,Piramal Pharma Limited,INE0DK501011,Pharmaceuticals
FUSION,Fusion Finance Limited,INE139R01012,Microfinance Institutions
SEQUENT,Sequent Scientific Limited,INE807F01027,Pharmaceuticals
SFL,Sheela Foam Limited,INE916U01025,Furniture Home Furnishing
NCC,NCC Limited,INE868B01028,Civil Construction
JUBLPHARMA,Jubilant Pharmova Limited,INE700A01033,Pharmaceuticals
KIRLOSBROS,Kirloskar Brothers Limited,INE732A01036,Compressors Pumps & Diesel Engines
SANGHIIND,Sanghi Industries Limited,INE999B01013,Cement & Cement Products
MOTILALOFS,Motilal Oswal Financial Services Limited,INE338I01027,Stockbroking & Allied
STARCEMENT,Star Cement Limited,INE460H01021,Cement & Cement Products
RBLBANK,RBL Bank Limited,INE976G01028,Private Sector Bank
SINDHUTRAD,Sindhu Trade Links Limited,INE325D01025,Diversified
IIFL,IIFL Finance Limited,INE530B01024,Non Banking Financial Company (NBFC)
IIFLSEC,IIFL Securities Limited,INE489L01022,Stockbroking & Allied
BRIGADE,Brigade Enterprises Limited,INE791I01019,Residential Commercial Projects
IDEA,Vodafone Idea Limited,INE669E01016,Telecom - Cellular & Fixed line services
JTLIND,JTL INDUSTRIES LIMITED,INE391J01024,Iron & Steel Products
SAFARI,Safari Industries (India) Limited,INE429E01023,Plastic Products - Consumer
SANSERA,Sansera Engineering Limited,INE953O01021,Auto Components & Equipments
EIHOTEL,EIH Limited,INE230A01023,Hotels & Resorts
JISLJALEQS,Jain Irrigation Systems Limited,INE175A01038,Plastic Products - Industrial
EDELWEISS,Edelweiss Financial Services Limited,INE532F01054,Holding Company
M&M,Mahindra & Mahindra Limited,INE101A01026,Passenger Cars & Utility Vehicles
DHANI,Dhani Services Limited,INE274G01010,Other Financial Services
ELECTCAST,Electrosteel Castings Limited,INE086A01029,Iron & Steel Products
PCBL,PCBL LIMITED,INE602A01031,Carbon Black
ZOMATO,Zomato Limited,INE758T01015,E-Retail/ E-Commerce
IRB,IRB Infrastructure Developers Limited,INE821I01022,Civil Construction
PNB,Punjab National Bank,INE160A01022,Public Sector Bank
SAMHI,Samhi Hotels Limited,INE08U801020,Hotels & Resorts
HEG,HEG Limited,INE545A01024,Electrodes & Refractories
YATHARTH,Yatharth Hospital & Trauma Care Services Limited,INE0JO301016,Hospital
ARVINDFASN,Arvind Fashions Limited,INE955V01021,Speciality Retail
CAMPUS,Campus Activewear Limited,INE278Y01022,Footwear
CHALET,Chalet Hotels Limited,INE427F01016,Hotels & Resorts
SWSOLAR,Sterling and Wilson Renewable Energy Limited,INE00M201021,Civil Construction
POWERMECH,Power Mech Projects Limited,INE211R01019,Civil Construction
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,Oil Exploration & Production
CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029,Heavy Electrical Equipment
BDL,Bharat Dynamics Limited,INE171Z01026,Aerospace & Defense
NBCC,NBCC (India) Limited,INE095N01031,Civil Construction
WOCKPHARMA,Wockhardt Limited,INE049B01025,Pharmaceuticals
MRPL,Mangalore Refinery and Petrochemicals Limited,INE103A01014,Refineries & Marketing
GODIGIT,Go Digit General Insurance Limited,INE03JT01014,General Insurance
RELINFRA,Reliance Infrastructure Limited,INE036A01016,Integrated Power Utilities
PTC,PTC India Limited,INE877F01012,Power Trading
WHIRLPOOL,Whirlpool of India Limited,INE716A01013,Household Appliances
HGINFRA,H.G. Infra Engineering Limited,INE926X01010,Civil Construction
DELHIVERY,Delhivery Limited,INE148O01028,Logistics Solution Provider
BLUESTARCO,Blue Star Limited,INE472A01039,Household Appliances
AARTIIND,Aarti Industries Limited,INE769A01020,Specialty Chemicals
DODLA,Dodla Dairy Limited,INE021O01019,Dairy Products
LINDEINDIA,Linde India Limited,INE473A01011,Industrial Gases
ASHOKA,Ashoka Buildcon Limited,INE442H01029,Civil Construction
