symbol,companyName,isin,industry
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,Hospital
RELIANCE,Reliance Industries Limited,INE002A01018,Refineries & Marketing
INDUSINDBK,IndusInd Bank Limited,INE095A01012,Private Sector Bank
BHARTIARTL,Bharti Airtel Limited,INE397D01024,Telecom - Cellular & Fixed line services
TITAN,Titan Company Limited,INE280A07025,Gems Jewellery And Watches
TATASTEEL,Tata Steel Limited,INE081A03018,Iron & Steel
TATAMOTORS,Tata Motors Limited,INE155A01022,Passenger Cars & Utility Vehicles
BAJFINANCE,Bajaj Finance Limited,INE296A13011,Non Banking Financial Company (NBFC)
ADANIENT,Adani Enterprises Limited,INE423A01024,Trading - Minerals
MARUTI,Maruti Suzuki India Limited,INE585B01010,Passenger Cars & Utility Vehicles
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,Port & Port services
SBIN,State Bank of India,INE062A01020,Public Sector Bank
SHRIRAMFIN,Shriram Finance Limited,INE721A07PO9,Non Banking Financial Company (NBFC)
AXISBANK,Axis Bank Limited,INE238A01034,Private Sector Bank
COALINDIA,Coal India Limited,INE522F01014,Coal
