symbol,companyName,isin,industry
BERGEPAINT,Berger Paints (I) Limited,INE463A01038,Paints
ASIANPAINT,Asian Paints Limited,INE021A01026,Paints
PIDILITIND,Pidilite Industries Limited,INE318A01026,Specialty Chemicals
DABUR,Dabur India Limited,INE016A01026,Personal Care
HINDUNILVR,Hindustan Unilever Limited,INE030A01027,Diversified FMCG
SUNPHARMA,Sun Pharmaceutical Industries Limited,INE044A04014,Pharmaceuticals
ULTRACEMCO,UltraTech Cement Limited,INE481G01011,Cement & Cement Products
COLPAL,Colgate Palmolive (India) Limited,INE259A01022,Personal Care
NESTLEIND,Nestle India Limited,INE239A01024,Packaged Foods
HEROMOTOCO,Hero MotoCorp Limited,INE158A01026,2/3 Wheelers
RELIANCE,Reliance Industries Limited,INE002A01018,Refineries & Marketing
HDFCBANK,HDFC Bank Limited,INE040A13013,Private Sector Bank
TORNTPHARM,Torrent Pharmaceuticals Limited,INE685A01028,Pharmaceuticals
BRITANNIA,Britannia Industries Limited,INE216A07052,Packaged Foods
KOTAKBANK,Kotak Mahindra Bank Limited,INE237A01028,Private Sector Bank
NTPC,NTPC Limited,INE733E07JH3,Power Generation
CIPLA,Cipla Limited,INE059A01026,Pharmaceuticals
BHARTIARTL,Bharti Airtel Limited,INE397D01024,Telecom - Cellular & Fixed line services
ITC,ITC Limited,INE154A01025,Diversified FMCG
TITAN,Titan Company Limited,INE280A07025,Gems Jewellery And Watches
MARICO,Marico Limited,INE196A01026,Edible Oil
HCLTECH,HCL Technologies Limited,INE860A01027,Computers - Software & Consulting
ICICIBANK,ICICI Bank Limited,INE090A01021,Private Sector Bank
SBILIFE,SBI Life Insurance Company Limited,INE123W01016,Life Insurance
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,2/3 Wheelers
TCS,Tata Consultancy Services Limited,INE467B01029,Computers - Software & Consulting
BOSCHLTD,Bosch Limited,INE323A01026,Auto Components & Equipments
DRREDDY,Dr. Reddy's Laboratories Limited,INE089A08051,Pharmaceuticals
LT,Larsen & Toubro Limited,INE018A01030,Civil Construction
WIPRO,Wipro Limited,INE075A01022,Computers - Software & Consulting
