symbol,companyName,isin,industry
HINDPETRO,Hindustan Petroleum Corporation Limited,INE169701013,Refineries & Marketing
ZYDUSLIFE,Zydus Lifesciences Limited,INE010B01027,Pharmaceuticals
LUPIN,Lupin Limited,INE326A01037,Pharmaceuticals
HAL,Hindustan Aeronautics Limited,INE066F01020,Aerospace & Defense
CUMMINSIND,Cummins India Limited,INE298A01020,Compressors Pumps & Diesel Engines
HDFCAMC,HDFC Asset Management Company Limited,INE127D01025,Asset Management Company
BEL,Bharat Electronics Limited,INE263A01024,Aerospace & Defense
IOC,Indian Oil Corporation Limited,INE242A01010,Refineries & Marketing
TRENT,Trent Limited,INE849A01020,Speciality Retail
NTPC,NTPC Limited,INE733E07JE0,Power Generation
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,Pharmaceuticals
GMRINFRA,GMR Airports Infrastructure Limited,INE776C01039,Airport & Airport services
MOTHERSON,Samvardhana Motherson International Limited,INE775A01035,Auto Components & Equipments
TVSMOTOR,TVS Motor Company Limited,INE494B01023,2/3 Wheelers
SIEMENS,Siemens Limited,INE003A01024,Heavy Electrical Equipment
TATAMOTORS,Tata Motors Limited,INE155A01022,Passenger Cars & Utility Vehicles
POLYCAB,Polycab India Limited,INE455K01017,Cables - Electricals
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,Port & Port services
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,2/3 Wheelers
PFC,Power Finance Corporation Limited,INE134E07422,Financial Institution
IDEA,Vodafone Idea Limited,INE669E01016,Telecom - Cellular & Fixed line services
RECLTD,REC Limited,INE020B07HO1,Financial Institution
DIXON,Dixon Technologies (India) Limited,INE935N01020,Consumer Electronics
NMDC,NMDC Limited,INE584A01023,Industrial Minerals
PNB,Punjab National Bank,INE160A01022,Public Sector Bank
INDUSTOWER,Indus Towers Limited,INE121J01017,Telecom - Infrastructure
ABB,ABB India Limited,INE117A01022,Heavy Electrical Equipment
OFSS,Oracle Financial Services Software Limited,INE881D01027,Software Products
BHEL,Bharat Heavy Electricals Limited,INE257A01026,Heavy Electrical Equipment
COALINDIA,Coal India Limited,INE522F01014,Coal
