symbol,companyName,isin,industry
BERGEPAINT,Berger Paints (I) Limited,INE463A01038,Paints
ASIANPAINT,Asian Paints Limited,INE021A01026,Paints
PIDILITIND,Pidilite Industries Limited,INE318A01026,Specialty Chemicals
DABUR,Dabur India Limited,INE016A01026,Personal Care
HINDUNILVR,Hindustan Unilever Limited,INE030A01027,Diversified FMCG
SUNTV,Sun TV Network Limited,INE424H01027,TV Broadcasting & Software Production
HAL,Hindustan Aeronautics Limited,INE066F01020,Aerospace & Defense
COLPAL,Colgate Palmolive (India) Limited,INE259A01022,Personal Care
NESTLEIND,Nestle India Limited,INE239A01024,Packaged Foods
HDFCAMC,HDFC Asset Management Company Limited,INE127D01025,Asset Management Company
BEL,Bharat Electronics Limited,INE263A01024,Aerospace & Defense
DIVISLAB,Divi's Laboratories Limited,INE361B01024,Pharmaceuticals
HEROMOTOCO,Hero MotoCorp Limited,INE158A01026,2/3 Wheelers
BRITANNIA,Britannia Industries Limited,INE216A07052,Packaged Foods
HAVELLS,Havells India Limited,INE176B01034,Consumer Electronics
TECHM,Tech Mahindra Limited,INE669C01036,Computers - Software & Consulting
ITC,ITC Limited,INE154A01025,Diversified FMCG
MARICO,Marico Limited,INE196A01026,Edible Oil
HCLTECH,HCL Technologies Limited,INE860A01027,Computers - Software & Consulting
IRCTC,Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,Tour Travel Related Services
IGL,Indraprastha Gas Limited,INE203G01027,LPG/CNG/PNG/LNG Supplier
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,2/3 Wheelers
TCS,Tata Consultancy Services Limited,INE467B01029,Computers - Software & Consulting
PAGEIND,Page Industries Limited,INE761H01022,Garments & Apparels
INFY,Infosys Limited,INE009A01021,Computers - Software & Consulting
PERSISTENT,Persistent Systems Limited,INE262H01021,Computers - Software & Consulting
LTTS,L&T Technology Services Limited,INE010V01017,IT Enabled Services
LTIM,LTIMindtree Limited,INE214T01019,Computers - Software & Consulting
OFSS,Oracle Financial Services Software Limited,INE881D01027,Software Products
COALINDIA,Coal India Limited,INE522F01014,Coal
