symbol,companyName,isin,industry
LUPIN,Lupin Limited,INE326A01037,Pharmaceuticals
ZYDUSLIFE,Zydus Lifesciences Limited,INE010B01027,Pharmaceuticals
BHARATFORG,Bharat Forge Limited,INE465A13020,Auto Components & Equipments
HAL,Hindustan Aeronautics Limited,INE066F01020,Aerospace & Defense
CUMMINSIND,Cummins India Limited,INE298A01020,Compressors Pumps & Diesel Engines
BEL,Bharat Electronics Limited,INE263A01024,Aerospace & Defense
HEROMOTOCO,Hero MotoCorp Limited,INE158A01026,2/3 Wheelers
OBEROIRLTY,Oberoi Realty Limited,INE093I01010,Residential Commercial Projects
TRENT,Trent Limited,INE849A13017,Speciality Retail
NTPC,NTPC Limited,INE733E07JH3,Power Generation
BHARTIARTL,Bharti Airtel Limited,INE397D01024,Telecom - Cellular & Fixed line services
MOTHERSON,Samvardhana Motherson International Limited,INE775A01035,Auto Components & Equipments
SIEMENS,Siemens Limited,INE003A01024,Heavy Electrical Equipment
TATAMOTORS,Tata Motors Limited,INE155A01022,Passenger Cars & Utility Vehicles
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,Port & Port services
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,2/3 Wheelers
PFC,Power Finance Corporation Limited,INE134E07422,Financial Institution
BOSCHLTD,Bosch Limited,INE323A01026,Auto Components & Equipments
RECLTD,REC Limited,INE020B07IF7,Financial Institution
VEDL,Vedanta Limited,INE205A01025,Diversified Metals
DIXON,Dixon Technologies (India) Limited,INE935N01020,Consumer Electronics
NMDC,NMDC Limited,INE584A01023,Industrial Minerals
PNB,Punjab National Bank,INE160A01022,Public Sector Bank
M&M,Mahindra & Mahindra Limited,INE101A01026,Passenger Cars & Utility Vehicles
INDUSTOWER,Indus Towers Limited,INE121J01017,Telecom - Infrastructure
ABB,ABB India Limited,INE117A01022,Heavy Electrical Equipment
OFSS,Oracle Financial Services Software Limited,INE881D01027,Software Products
BHEL,Bharat Heavy Electricals Limited,INE257A01026,Heavy Electrical Equipment
TATAPOWER,Tata Power Company Limited,INE245A01021,Integrated Power Utilities
COALINDIA,Coal India Limited,INE522F01014,Coal
