symbol,companyName,isin,industry
MAZDOCK,Mazagon Dock Shipbuilders Limited,INE249Z01012,Ship Building & Allied Services
HINDPETRO,Hindustan Petroleum Corporation Limited,INE169701013,Refineries & Marketing
PRESTIGE,Prestige Estates Projects Limited,INE811K01011,Residential Commercial Projects
SUNDARMFIN,Sundaram Finance Limited,INE660A01013,Non Banking Financial Company (NBFC)
AJANTPHARM,Ajanta Pharma Limited,INE031B01049,Pharmaceuticals
BSE,BSE Limited,INE118H01025,Exchange and Data Platform
BDL,Bharat Dynamics Limited,INE171Z01026,Aerospace & Defense
POLICYBZR,PB Fintech Limited,INE417T01026,Financial Technology (Fintech)
KEI,KEI Industries Limited,INE878B01027,Cables - Electricals
LUPIN,Lupin Limited,INE326A01037,Pharmaceuticals
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,Pharmaceuticals
IPCALAB,IPCA Laboratories Limited,INE571A01038,Pharmaceuticals
BHARATFORG,Bharat Forge Limited,INE465A01025,Auto Components & Equipments
CUMMINSIND,Cummins India Limited,INE298A01020,Compressors Pumps & Diesel Engines
MRF,MRF Limited,INE883A01011,Tyres & Rubber Products
HDFCAMC,HDFC Asset Management Company Limited,INE127D01025,Asset Management Company
TORNTPOWER,Torrent Power Limited,INE813H01021,Integrated Power Utilities
OBEROIRLTY,Oberoi Realty Limited,INE093I01010,Residential Commercial Projects
KALYANKJIL,Kalyan Jewellers India Limited,INE303R01014,Gems Jewellery And Watches
SOLARINDS,Solar Industries India Limited,INE343H01029,Explosives
JSWENERGY,JSW Energy Limited,INE121E01018,Power Generation
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,Pharmaceuticals
GMRINFRA,GMR Airports Infrastructure Limited,INE776C01039,Airport & Airport services
ESCORTS,Escorts Kubota Limited,INE042A01014,Tractors
SUPREMEIND,Supreme Industries Limited,INE195A01028,Plastic Products - Industrial
GODREJPROP,Godrej Properties Limited,INE484J01027,Residential Commercial Projects
NHPC,NHPC Limited,INE848E07542,Power Generation
MAHABANK,Bank of Maharashtra,INE457A01014,Public Sector Bank
CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029,Heavy Electrical Equipment
UNOMINDA,UNO Minda Limited,INE405E01023,Auto Components & Equipments
UNIONBANK,Union Bank of India,INE692A01016,Public Sector Bank
LINDEINDIA,Linde India Limited,INE473A01011,Industrial Gases
POLYCAB,Polycab India Limited,INE455K01017,Cables - Electricals
JSL,Jindal Stainless Limited,INE220G01021,Iron & Steel
PHOENIXLTD,The Phoenix Mills Limited,INE211B01039,Residential Commercial Projects
THERMAX,Thermax Limited,INE152A01029,Heavy Electrical Equipment
SAIL,Steel Authority of India Limited,INE114A01011,Iron & Steel
RVNL,Rail Vikas Nigam Limited,INE415G01027,Civil Construction
DIXON,Dixon Technologies (India) Limited,INE935N01020,Consumer Electronics
VOLTAS,Voltas Limited,INE226A01021,Household Appliances
LODHA,Macrotech Developers Limited,INE670K01029,Residential Commercial Projects
SJVN,SJVN Limited,INE002L01015,Power Generation
NMDC,NMDC Limited,INE584A01023,Industrial Minerals
INDUSTOWER,Indus Towers Limited,INE121J01017,Telecom - Infrastructure
HINDZINC,Hindustan Zinc Limited,INE267A01025,Zinc
INDIANB,Indian Bank,INE562A01011,Public Sector Bank
OFSS,Oracle Financial Services Software Limited,INE881D01027,Software Products
BHEL,Bharat Heavy Electricals Limited,INE257A01026,Heavy Electrical Equipment
FORTIS,Fortis Healthcare Limited,INE061F01013,Hospital
OIL,Oil India Limited,INE274J01014,Oil Exploration & Production
