symbol,name
ULTRACEMCO,ULTRATECH CEMENT LTD
JSWSTEEL,JSW STEEL LTD
HINDZINC,HINDUSTAN ZINC LTD
TATASTEEL,TATA STEEL LTD
GRASIM,GRASIM INDUSTRIES LTD
VEDL,VEDANTA LTD
HINDALCO,HINDALCO INDUSTRIES LTD
AMBUJACEM,AMBUJA CEMENTS LTD
JINDALSTEL,JINDAL STEEL & POWER LTD
SHREECEM,SHREE CEMENT LTD
TIINDIA,TUBE INVEST OF INDIA LTD
NMDC,NMDC LTD.
JSL,JINDAL STAINLESS LTD
LLOYDSME,LLOYDS METALS N ENERGY L
SAIL,STEEL AUTHORITY OF INDIA
ACC,ACC LTD
APLAPOLLO,APL APOLLO TUBES LTD
NATIONALUM,NATIONAL ALUMINIUM CO LTD
JKCEMENT,JK CEMENT LTD
HINDCOPPER,HINDUSTAN COPPER LTD
RATNAMANI,RATNAMANI MET & TUB LTD.
RAMCOCEM,THE RAMCO CEMENTS LTD
KIOCL,KIOCL LTD
JINDALSAW,JINDAL SAW LTD
JAIBALAJI,JAI BALAJI INDUSTRIES LTD
SARDAEN,SARDA ENERGY & MIN LTD
GRAVITA,GRAVITA INDIA LTD
NSLNISP,NMDC STEEL LTD
GPIL,GODAWARI POW & ISP LTD
NUVOCO,NUVOCO VISTAS CORP LTD
INDIACEM,THE INDIA CEMENTS LTD
VESUVIUS,VESUVIUS INDIA LTD
ELECTCAST,ELECTROSTEEL CASTINGS LTD
JKLAKSHMI,JK LAKSHMI CEMENT LTD
PRSMJOHNSN,PRISM JOHNSON LTD
BIRLACORPN,BIRLA CORPORATION LTD
MAHSEAMLES,MAHARASHTRA SEAMLESS LTD
GALLANTT,GALLANTT ISPAT LTD
SANDUMA,SANDUR MANG & IRON ORES L
SURYAROSNI,SURYA ROSHNI LTD
RESPONIND,RESPONSIVE INDUSTRIES LTD
ORIENTCEM,ORIENT CEMENT LTD.
GREENLAM,GREENLAM INDUSTRIES LTD.
MOIL,MOIL LTD
KESORAMIND,KESORAM INDUSTRIES LTD
MIDHANI,MISHRA DHATU NIGAM LTD
HEIDELBERG,HEIDELBERGCEMENT (I) LTD
KIRLOSIND,KIRLOSKAR INDUSTRIES LTD
ORISSAMINE,ORISSA MIN DEV CO LTD
GREENPANEL,GREENPANEL INDUSTRIES LTD
JTLIND,JTL INDUSTRIES LTD
STYLAMIND,STYLAM INDUSTRIES LTD
VENUSPIPES,VENUS PIPES & TUBES LTD
SBCL,SHIVALIK BIMETAL CON. LTD
HITECH,HI-TECH PIPES LTD
IMFA,INDIAN METALS & FERRO
SUNFLAG,SUNFLAG IRON AND STEEL CO
KSL,KALYANI STEELS LTD
GOODLUCK,GOODLUCK INDIA LTD
MAITHANALL,MAITHAN ALLOYS LTD
PRAKASH,PRAKASH INDUSTRIES LTD
SAGCEM,SAGAR CEMENTS LTD
PENIND,PENNAR INDUSTRIES LTD
POCL,PONDY OXIDES & CHEM LTD
ASHAPURMIN,ASHAPURA MINECHEM LTD
MANGLMCEM,MANGALAM CEMENT LTD
SANGHIIND,SANGHI INDUSTRIES LTD
VSSL,VARDHMAN SPC STEEL LTD
RAMASTEEL,RAMA STEEL TUBES LTD
RAMCOIND,RAMCO INDUSTRIES LTD
MUKANDLTD,MUKAND LTD.
HIL,HIL LTD
BIGBLOC,BIGBLOC CONSTRUCTION LTD
HARIOMPIPE,HARIOM PIPE INDUSTRIES L
MSPL,MSP STEEL & POWER LTD.
UDAICEMENT,UDAIPUR CEMENT WORKS LTD
STEELCAS,STEELCAST LTD
KAMDHENU,KAMDHENU LTD
SHREDIGCEM,SHREE DIGVIJAY CEM CO LTD
SAURASHCEM,SAURASHTRA CEMENT LTD
STEELXIND,STEEL EXCHANGE INDIA LTD
MAANALU,MAAN ALUMINIUM LTD
ELECTHERM,ELECTROTHERM (I) LTD.
NELCAST,NELCAST LTD
RUSHIL,RUSHIL DECOR LTD
GANDHITUBE,GANDHI SPL. TUBES LTD
RATNAVEER,RATNAVEER PRECISION ENG L
NCLIND,NCL INDUSTRIES LTD
MMP,MMP INDUSTRIES LTD
ACL,ANDHRA CEMENTS LTD
DECCANCE,DECCAN CEMENTS LTD
SURAJLTD,SURAJ LTD
GSLSU,GLOBAL SURFACES LTD
HPAL,HP ADHESIVES LTD
NRL,NUPUR RECYCLERS LTD
JAYBEE,JAY BEE LAMINATIONS LTD
VRAJ,VRAJ IRON AND STEEL LTD
VISHNUINFR,VISHNUSURYA PROJ N INFR L
BEDMUTHA,BEDMUTHA INDUST LTD
PREMIERPOL,PREMIER POLYFILMS LTD
MANAKSIA,MANAKSIA LTD.
SGIL,SYNERGY GREEN IND. LTD
ORIENTCER,ORIENT CERATECH LTD
GEEKAYWIRE,GEEKAY WIRES LTD
APCL,ANJANI PORTLAND CEM LTD
VSTL,VIBHOR STEEL TUBES LTD
EUROBOND,EURO PANEL PRODUCTS LTD
MANAKCOAT,MAN COAT METAL & IND LTD
MANAKSTEEL,MANAKSIA STEELS LTD
SAHYADRI,SAHYADRI INDUSTRIES LTD
VISASTEEL,VISA STEEL LTD
MAHASTEEL,MAHAMAYA STEEL INDS LTD
