symbol,name
ASIANPAINT,ASIAN PAINTS LTD
PIDILITIND,PIDILITE INDUSTRIES LTD
SOLARINDS,SOLAR INDUSTRIES (I) LTD
PIIND,PI INDUSTRIES LTD
LINDEINDIA,LINDE INDIA LTD
SRF,SRF LTD
PATANJALI,PATANJALI FOODS LTD
BERGEPAINT,BERGER PAINTS (I) LTD
FACT,FACT LTD
COROMANDEL,COROMANDEL INTERNTL. LTD
FLUOROCHEM,GUJARAT FLUOROCHEM LTD
AWL,ADANI WILMAR LTD
UPL,UPL LTD
DEEPAKNTR,DEEPAK NITRITE LTD
BASF,BASF INDIA LTD
GODREJIND,GODREJ INDUSTRIES LTD
ABREL,ADITYA BIRLA REAL EST LTD
BAYERCROP,BAYER CROPSCIENCE LTD
TATACHEM,TATA CHEMICALS LTD
SUMICHEM,SUMITOMO CHEM INDIA LTD
HSCL,HIMADRI SPECIALITY CHEM L
CARBORUNIV,CARBORUNDUM UNIVERSAL LTD
GRINDWELL,GRINDWELL NORTON LTD
KANSAINER,KANSAI NEROLAC PAINTS LTD
ATUL,ATUL LTD
AKZOINDIA,AKZO NOBEL INDIA LTD
VINATIORGA,VINATI ORGANICS LTD
CHAMBLFERT,CHAMBAL FERTILIZERS LTD
AARTIIND,AARTI INDUSTRIES LTD
TRIDENT,TRIDENT LTD
NAVINFLUOR,NAVIN FLUORINE INT. LTD
CLEAN,CLEAN SCIENCE & TECH LTD
PCBL,PCBL LTD
DEEPAKFERT,DEEPAK FERTILIZERS & PETR
FINEORG,FINE ORGANIC IND. LTD.
EIDPARRY,EID PARRY INDIA LTD
SPLPETRO,SUPREME PETROCHEM LTD
GODREJAGRO,GODREJ AGROVET LTD
LTFOODS,LT FOODS LTD
VTL,VARDHMAN TEXTILES LTD
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD
JUBLINGREA,JUBILANT INGREVIA LTD
ALOKINDS,ALOK INDUSTRIES LTD
AETHER,AETHER INDUSTRIES LTD
RAYMOND,RAYMOND LTD
ALKYLAMINE,ALKYL AMINES CHEM. LTD
GRAPHITE,GRAPHITE INDIA LTD
TIMETECHNO,TIME TECHNOPLAST LTD.
ARVIND,ARVIND LTD
SFL,SHEELA FOAM LTD
GRWRHITECH,GARWARE HI-TECH FILMS LTD
RENUKA,SHREE RENUKA SUGARS LTD
EPIGRAL,EPIGRAL LIMITED
GNFC,GUJ NAR VAL FER & CHEM L
TRIVENI,TRIVENI ENGG. & INDS. LTD
RCF,RASHTRIYA CHEMICALS & FER
EPL,EPL LTD
PARADEEP,PARADEEP PHOSPHATES LTD
GSFC,GUJ STATE FERT & CHEM LTD
AVANTIFEED,AVANTI FEEDS LTD
ACI,ARCHEAN CHEMICAL IND LTD
INDIGOPNTS,INDIGO PAINTS LTD
JKPAPER,JK PAPER LTD
ICIL,INDO COUNT INDUSTRIES LTD
