symbol,name
SIEMENS,SIEMENS LTD
ABB,ABB INDIA LTD
MOTHERSON,SAMVRDHNA MTHRSN INTL LTD
CGPOWER,CG POWER AND IND SOL LTD
BOSCHLTD,BOSCH LTD
HAVELLS,HAVELLS INDIA LTD
POLYCAB,POLYCAB INDIA LTD
CUMMINSIND,CUMMINS INDIA LTD
SUZLON,SUZLON ENERGY LTD
BHEL,BHEL
MAZDOCK,MAZAGON DOCK SHIPBUIL LTD
BHARATFORG,BHARAT FORGE LTD
ASHOKLEY,ASHOK LEYLAND LTD
THERMAX,THERMAX LTD
UNOMINDA,UNO MINDA LTD
SUPREMEIND,SUPREME INDUSTRIES LTD
ESCORTS,ESCORTS KUBOTA LTD
SCHAEFFLER,SCHAEFFLER INDIA LTD
VOLTAS,VOLTAS LTD
ASTRAL,ASTRAL LTD
GET_D,GE T&D INDIA LTD
SONACOMS,SONA BLW PRECISION FRGS L
3MINDIA,3M INDIA LTD
COCHINSHIP,COCHIN SHIPYARD LTD
BLUESTARCO,BLUE STAR LTD
EXIDEIND,EXIDE INDUSTRIES LTD
KEI,KEI INDUSTRIES LTD.
AIAENG,AIA ENGINEERING LTD
DALBHARAT,DALMIA BHARAT LTD
ENDURANCE,ENDURANCE TECHNO. LTD.
SUVENPHAR,SUVEN PHARMACEUTICALS LTD
INOXWIND,INOX WIND LTD
MSUMI,MOTHERSON SUMI WRNG IND L
SUNDRMFAST,SUNDRAM FASTENERS LTD
ZFCVINDIA,ZF COM VE CTR SYS IND LTD
SKFINDIA,SKF INDIA LTD
TIMKEN,TIMKEN INDIA LTD.
ARE_M,AMARA RAJA ENERGY MOB LTD
TVSHLTD,TVS HOLDINGS LTD
CROMPTON,CROMPT GREA CON ELEC LTD
JYOTICNC,JYOTI CNC AUTOMATION LTD
SHYAMMETL,SHYAM METALICS AND ENGY L
TRITURBINE,TRIVENI TURBINE LTD
JWL,JUPITER WAGONS LTD
ELGIEQUIP,ELGI EQUIPMENTS LTD
AMBER,AMBER ENTERPRISES (I) LTD
KAJARIACER,KAJARIA CERAMICS LTD
JBMA,JBM AUTO LTD
WELCORP,WELSPUN CORP LTD
FINCABLES,FINOLEX CABLES LTD
CIEINDIA,CIE AUTOMOTIVE INDIA LTD
VGUARD,V-GUARD IND LTD.
FINPIPE,FINOLEX INDUSTRIES LTD
CENTURYPLY,CENTURY PLYBOARDS (I) LTD
GRSE,GARDEN REACH SHIP&ENG LTD
