symbol,name
DMART,AVENUE SUPERMARTS LTD
TRENT,TRENT LTD
KALYANKJIL,KALYAN JEWELLERS IND LTD
NYKAA,FSN E COMMERCE VENTURES
MANYAVAR,VEDANT FASHIONS LTD
ABFRL,ADITYA BIRLA FASHION & RT
FIRSTCRY,BRAINBEES SOLUTIONS LTD
METROBRAND,METRO BRANDS LTD
INDIAMART,INDIAMART INTERMESH LTD
REDTAPE,REDTAPE LTD
HONASA,HONASA CONSUMER LTD
PNGJL,P N GADGIL JEWELLERS LTD
VMART,VMART RETAIL LTD
MEDPLUS,MEDPLUS HEALTH SERV LTD
EMIL,ELECTRONICS MART IND LTD
ARVINDFASN,ARVIND FASHIONS LTD
SHOPERSTOP,SHOPPERS STOP LTD
ETHOSLTD,ETHOS LTD
MSTCLTD,MSTC LTD
DPABHUSHAN,D. P. ABHUSHAN LTD
V2RETAIL,V2 RETAIL LTD
VAKRANGEE,VAKRANGEE LTD
MOTISONS,MOTISONS JEWELLERS LTD
KALAMANDIR,SAI SILKS (KALAMANDIR) L
LANDMARK,LANDMARK CARS LTD
STYLEBAAZA,BAAZAR STYLE RETAIL LTD
CONFIPET,CONFIDENCE PETRO IND LTD.
MVGJL,MANOJ VAIBHAV GEM N JEW L
PVSL,POPULAR VEHICLES N SER L
SHANKARA,SHANKARA BLDG PRODUCT LTD
MUFTI,CREDO BRANDS MARKETING L
SASTASUNDR,SASTASUNDAR VENTURES LTD
DENTALKART,VASA DENTICITY LTD
SPENCERS,SPENCER S RETAIL LTD
SREEL,SREELEATHERS LTD
OSIAHYPER,OSIA HYPER RETAIL LTD
PRAXIS,PRAXIS HOME RETAIL LTD
NEWJAISA,NEWJAISA TECHNOLOGIES LTD
ISFT,INTRASOFT TECH. LTD
LLOYDS,LLOYDS LUXURIES LTD
FONEBOX,FONEBOX RETAIL LTD
DIGIDRIVE,DIGIDRIVE DISTRIBUTORS L
MACOBSTECH,MACOBS TECHNOLOGIES LTD
WOMANCART,WOMANCART LTD
ARCHIES,ARCHIES LTD
MAGSON,MAGSON RETAIL AND DIST L
FLFL,FUT LIFESTYLE FASH LTD
BIKEWO,BIKEWO GREEN TECH LTD
CBAZAAR,NET AVENUE TECHNOLOGIES L
HEADSUP,HEADS UP VENTURES LTD
