companyName,symbol
ABB India Limited,ABB
ACC Limited,ACC
AU Small Finance Bank Limited,AUBANK
Aarti Industries Limited,AARTIIND
Abbott India Limited,ABBOTINDIA
Adani Enterprises Limited,ADANIENT
Adani Ports and Special Economic Zone Limited,ADANIPORTS
Aditya Birla Capital Limited,ABCAPITAL
Aditya Birla Fashion and Retail Limited,ABFRL
Alkem Laboratories Limited,ALKEM
Ambuja Cements Limited,AMBUJACEM
Apollo Hospitals Enterprise Limited,APOLLOHOSP
Apollo Tyres Limited,APOLLOTYRE
Ashok Leyland Limited,ASHOKLEY
Asian Paints Limited,ASIANPAINT
Astral Limited,ASTRAL
Atul Limited,ATUL
Aurobindo Pharma Limited,AUROPHARMA
Axis Bank Limited,AXISBANK
BIRLASOFT LIMITED,BSOFT
Bajaj Auto Limited,BAJAJ-AUTO
Bajaj Finance Limited,BAJFINANCE
Bajaj Finserv Limited,BAJAJFINSV
Balkrishna Industries Limited,BALKRISIND
Bandhan Bank Limited,BANDHANBNK
Bank of Baroda,BANKBARODA
Bata India Limited,BATAINDIA
Berger Paints (I) Limited,BERGEPAINT
Bharat Electronics Limited,BEL
Bharat Forge Limited,BHARATFORG
Bharat Heavy Electricals Limited,BHEL
Bharat Petroleum Corporation Limited,BPCL
Bharti Airtel Limited,BHARTIARTL
Biocon Limited,BIOCON
Bosch Limited,BOSCHLTD
Britannia Industries Limited,BRITANNIA
Can Fin Homes Limited,CANFINHOME
Canara Bank,CANBK
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT
Cholamandalam Investment and Finance Company Limited,CHOLAFIN
Cipla Limited,CIPLA
City Union Bank Limited,CUB
Coal India Limited,COALINDIA
Coforge Limited,COFORGE
Colgate Palmolive (India) Limited,COLPAL
Container Corporation of India Limited,CONCOR
Coromandel International Limited,COROMANDEL
Crompton Greaves Consumer Electricals Limited,CROMPTON
Cummins India Limited,CUMMINSIND
DLF Limited,DLF
Dabur India Limited,DABUR
Dalmia Bharat Limited,DALBHARAT
Deepak Nitrite Limited,DEEPAKNTR
Divi's Laboratories Limited,DIVISLAB
Dixon Technologies (India) Limited,DIXON
Dr. Lal Path Labs Ltd.,LALPATHLAB
Dr. Reddy's Laboratories Limited,DRREDDY
Eicher Motors Limited,EICHERMOT
Escorts Kubota Limited,ESCORTS
Exide Industries Limited,EXIDEIND
GAIL (India) Limited,GAIL
GMR Airports Infrastructure Limited,GMRINFRA
Glenmark Pharmaceuticals Limited,GLENMARK
Godrej Consumer Products Limited,GODREJCP
Godrej Properties Limited,GODREJPROP
Granules India Limited,GRANULES
Grasim Industries Limited,GRASIM
Gujarat Gas Limited,GUJGASLTD
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC
HCL Technologies Limited,HCLTECH
HDFC Asset Management Company Limited,HDFCAMC
HDFC Bank Limited,HDFCBANK
HDFC Life Insurance Company Limited,HDFCLIFE
Havells India Limited,HAVELLS
Hero MotoCorp Limited,HEROMOTOCO
Hindalco Industries Limited,HINDALCO
Hindustan Aeronautics Limited,HAL
Hindustan Copper Limited,HINDCOPPER
Hindustan Petroleum Corporation Limited,HINDPETRO
Hindustan Unilever Limited,HINDUNILVR
ICICI Bank Limited,ICICIBANK
ICICI Lombard General Insurance Company Limited,ICICIGI
ICICI Prudential Life Insurance Company Limited,ICICIPRULI
IDFC First Bank Limited,IDFCFIRSTB
IPCA Laboratories Limited,IPCALAB
ITC Limited,ITC
Indiamart Intermesh Limited,INDIAMART
Indian Energy Exchange Limited,IEX
Indian Oil Corporation Limited,IOC
Indian Railway Catering And Tourism Corporation Limited,IRCTC
Indraprastha Gas Limited,IGL
Indus Towers Limited,INDUSTOWER
IndusInd Bank Limited,INDUSINDBK
