symbol,name
TCS,TATA CONSULTANCY SERV LTD
INFY,INFOSYS LTD
HCLTECH,HCL TECHNOLOGIES LTD
WIPRO,WIPRO LTD
TECHM,TECH MAHINDRA LTD
NAUKRI,INFO EDGE (I) LTD
OFSS,ORACLE FIN SERV SOFT LTD.
PERSISTENT,PERSISTENT SYSTEMS LTD
POLICYBZR,PB FINTECH LTD
MOTILALOFS,MOTILAL OSWAL FIN LTD
MPHASIS,MPHASIS LTD
COFORGE,COFORGE LTD
PAYTM,ONE 97 COMMUNICATIONS LTD
TATAELXSI,TATA ELXSI LTD
TATATECH,TATA TECHNOLOGIES LTD
CRISIL,CRISIL LTD
KPITTECH,KPIT TECHNOLOGIES LTD
ABSLAMC,ADIT BIRL SUN LIF AMC LTD
AFFLE,AFFLE (INDIA) LTD
TBOTEK,TBO TEK LTD
NEWGEN,NEWGEN SOFTWARE TECH LTD
KFINTECH,KFIN TECHNOLOGIES LTD
SONATSOFTW,SONATA SOFTWARE LTD
ZENTEC,ZEN TECHNOLOGIES LTD
BLS,BLS INTL SERVS LTD
ZENSARTECH,ZENSAR TECHNOLOGIES LTD
BSOFT,BIRLASOFT LTD
HAPPSTMNDS,HAPPIEST MINDS TECHNO LTD
TANLA,TANLA PLATFORMS LTD
INTELLECT,INTELLECT DESIGN ARENA
JUSTDIAL,JUSTDIAL LTD.
AURIONPRO,AURIONPRO SOLN LTD
RATEGAIN,RATEGAIN TRAVEL TECHN LTD
MASTEK,MASTEK LTD
BBOX,BLACK BOX LTD
E2E,E2E NETWORKS LTD
EMUDHRA,EMUDHRA LTD
NAZARA,NAZARA TECHNOLOGIES LTD
RSYSTEMS,R SYS INTERNATIONAL LTD
NPST,NETWORK PEOPLE SRV TECH L
STLTECH,STERLITE TECHNOLOGIES LTD
IXIGO,LE TRAVENUES TECHNOLOGY L
ZAGGLE,ZAGGLE PREPA OCEAN SER L
CARTRADE,CARTRADE TECH LTD
CIGNITITEC,CIGNITI TECHNOLOGIES LTD
DATAMATICS,DATAMATICS GLOBAL SER LTD
QUICKHEAL,QUICK HEAL TECH LTD
NUCLEUS,NUCLEUS SOFTWARE EXPORTS
SAKSOFT,SAKSOFT LTD
GENESYS,GENESYS INTL CORPN LTD
63MOONS,63 MOONS TECHNOLOGIES LTD
SASKEN,SASKEN TECHNOLOGIES LTD
ACCELYA,ACCELYA SOLN INDIA LTD
UNIECOM,UNICOMMERCE ESOLUTIONS L
BLSE,BLS E-SERVICES LTD
EXPLEOSOL,EXPLEO SOLUTIONS LTD
MATRIMONY,MATRIMONY.COM LTD
DSSL,DYNACONS SYS & SOLN LTD
BCG,BRIGHTCOM GROUP LTD
VLEGOV,VL E GOV AND IT SOL LTD
ADSL,ALLIED DIGITAL SERV. LTD
RAMCOSYS,RAMCO SYSTEMS LTD.
KELLTONTEC,KELLTON TECH SOL LTD
SUBEXLTD,SUBEX LTD
ORIENTTECH,ORIENT TECHNOLOGIES LTD
XCHANGING,XCHANGING SOLUTIONS LTD
KSOLVES,KSOLVES INDIA LTD
INNOVANA,INNOVANA THINKLABS LTD.
NINSYS,NINTEC SYSTEMS LTD
SAHANA,SAHANA SYSTEM LTD
INFOBEAN,INFOBEANS TECHNO. LTD.
MINDTECK,MINDTECK (INDIA) LTD
SILVERTUC,SILVER TOUCH TECHNO LTD
ALLETEC,ALL E TECHNOLOGIES LTD
TRACXN,TRACXN TECHNOLOGIES LTD
IRIS,IRIS BUSINESS SERV LTD
PVP,PVP VENTURES LTD
ONWARDTEC,ONWARD TECHNOLOGIES LTD
MOS,MOS UTILITY LTD
CYBERTECH,CYBERTECH SYSTEMS & SOFTW
DIGISPICE,DIGISPICE TECHNOLOGIES LTD
TAC,TAC INFOSEC LTD
LOKESHMACH,LOKESH MACHINES LTD
LAWSIKHO,ADDICTIVE LEARNING TECH L
RSSOFTWARE,R. S. SOFTWARE (INDIA) LI
ALANKIT,ALANKIT LTD
XTGLOBAL,XTGLOBAL INFOTECH LTD
AURUM,AURUM PROPTECH LTD
HCL_INSYS,HCL INFOSYSTEMS-DEPO SETT
MEGASOFT,MEGASOFT LTD
IZMO,IZMO LTD
SOFTTECH,SOFTTECH ENGINEERS LTD
3IINFOLTD,3I INFOTECH LTD
INSPIRISYS,INSPIRISYS SOLUTIONS LTD
AIRAN,AIRAN LTD
