symbol,name
ADANIPORTS,ADANI PORT & SEZ LTD
ZOMATO,ZOMATO LTD
INDIGO,INTERGLOBE AVIATION LTD
GMRINFRA,GMR AIRPORTS INFRA LTD
CONCOR,CONTAINER CORP OF IND LTD
DELHIVERY,DELHIVERY LTD
BLUEDART,BLUE DART EXPRESS LTD
GESHIP,THE GE SHPG.LTD
SCI,SHIPPING CORP OF INDIA LTD
GPPL,GUJARAT PIPAVAV PORT LTD
TVSSCS,TVS SUPPLY CHAIN SOL L
TCI,TRANSPORT CORPN OF INDIA
ALLCARGO,ALLCARGO LOGISTICS LTD
VRLLOG,VRL LOGISTICS LTD
GATEWAY,GATEWAY DISTRIPARKS LTD
TCIEXP,TCI EXPRESS LTD
SINDHUTRAD,SINDHU TRADE LINKS LTD
MAHLOG,MAHINDRA LOGISTIC LTD
DREDGECORP,DREDGING CORP OF INDIA
DREAMFOLKS,DREAMFOLKS SERVICES LTD
AWHCL,ANTONY WASTE HDG CELL LTD
JITFINFRA,JITF INFRALOGISTICS LTD
NAVKARCORP,NAVKAR CORPORATION LTD.
ACLGATI,ALLCARGO GATI LTD
WCIL,WESTERN CARRIERS (IND) L
RITCO,RITCO LOGISTICS LTD
ATL,ALLCARGO TERMINALS LTD
SICALLOG,SICAL LOGISTICS LTD
TRANSWORLD,TRANSWORLD SHIP LINES LTD
SJLOGISTIC,S J LOGISTICS (INDIA) LTD
ESSARSHPNG,ESSAR SHIPPING LTD
AVG,AVG LOGISTICS LTD
JETAIRWAYS,JET AIRWAYS (INDIA) LTD.
COASTCORP,COASTAL CORPORATION LTD
SVLL,SHREE VASU LOGISTICS LTD
NECCLTD,NORTH EAST CARRY CORP LTD
RUCHINFRA,RUCHI INFRASTRUCTURE LTD
PRLIND,PREMIER ROADLINES LTD
SADHAV,SADHAV SHIPPING LTD
ASPINWALL,ASPINWALL & CO LTD
KLL,KAUSHALYA LOGISTICS LTD
ZEAL,ZEAL GLOBAL SERVICES LTD
MAHESHWARI,MAHESHWARI LOGISTICS LTD.
URBAN,URBAN ENVIRO WASTE MGMT L
GICL,GLOBE INTL CARRIERS LTD
PATINTLOG,PATEL INT. LOG. LTD
ACSAL,ARVIND AND COMPANY
DECCANTRAN,DECCAN TRANSCON LEASING L
ACCURACY,ACCURACY SHIPPING LTD
TOTAL,TOTAL TRANSPORT SYS LTD
DRSDILIP,DRS DILIP ROADLINES LTD.
OBCL,ORISSA BENGAL CARRIER LTD
BRACEPORT,BRACE PORT LOGISTICS LTD
PRANIK,PRANIK LOGISTICS LTD
FMNL,FUTURE MKT NETWORKS LTD
MEP,MEP INFRA. DEVELOPERS LTD
COMMITTED,COMMITTED CARGO CARE LTD
MARINETRAN,MARINETRANS INDIA LTD
AMIABLE,AMIABLE LOGISTICS (I) LTD
FSC,FUTURE SUPP CHAIN SOL LTD
JALAN,JALAN TRANSOLU. INDIA LTD
