symbol,name
NTPC,NTPC LTD
POWERGRID,POWER GRID CORP. LTD.
ADANIGREEN,ADANI GREEN ENERGY LTD
ADANIPOWER,ADANI POWER LTD
TATAPOWER,TATA POWER CO LTD
GAIL,GAIL (INDIA) LTD
JSWENERGY,JSW ENERGY LTD
ADANIENSOL,ADANI ENERGY SOLUTION LTD
TORNTPOWER,TORRENT POWER LTD
NHPC,NHPC LTD
ATGL,ADANI TOTAL GAS LTD
PETRONET,PETRONET LNG LTD
SJVN,SJVN LTD
GUJGASLTD,GUJARAT GAS LTD
NLCINDIA,NLC INDIA LTD
IGL,INDRAPRASTHA GAS LTD
CESC,CESC LTD
GSPL,GUJARAT STATE PETRO LTD
RPOWER,RELIANCE POWER LTD.
SWANENERGY,SWAN ENERGY LTD
NAVA,NAVA LTD
IWEL,INOX WIND ENERGY LTD
MGL,MAHANAGAR GAS LTD.
JPPOWER,JAIPRAKASH POWER VEN. LTD
RELINFRA,RELIANCE INFRASTRUCTU LTD
KPIGREEN,KPI GREEN ENERGY LTD
RTNPOWER,RATTANINDIA POWER LTD
UEL,UJAAS ENERGY LTD
INOXGREEN,INOX GREEN ENERGY SER LTD
PTC,PTC INDIA LTD
JYOTISTRUC,JYOTI STRUCTURES LTD
GIPCL,GUJ IND POW CO. LTD
GREENPOWER,ORIENT GREEN POWER CO LTD
RELTD,RAVINDRA ENERGY LTD
DPSCLTD,DPSC LTD
TEXINFRA,TEXMACO INFRA & HOLDG LTD
INDOWIND,INDOWIND ENERGY LTD
POSITRON,POSITRON ENERGY LTD
ENERGYDEV,ENERGY DEVE. CO.LTD
KARMAENG,KARMA ENERGY LTD
